player,team,age,position,games_played,minutes_played,total_points,field_goals,field_goals_attempted,free_throws,free_throws_attempted,assists,rebounds,steals,blocks,turnovers,personal_fouls
Joel Anthony,MIA,31,C,12,37,6,2,6,2,2,0,7,0,4,1,4
Joel Anthony,BOS,31,C,21,149,22,10,26,2,6,2,31,3,8,2,13
Pero Antic,ATL,31,PF,50,925,352,123,294,50,66,58,209,19,12,55,126
Trevor Ariza,WAS,28,SF,77,2723,1107,389,853,149,193,191,475,126,20,132,179
Hilton Armstrong,GSW,29,C,15,97,25,9,19,7,16,5,47,4,4,6,11
Darrell Arthur,DEN,25,SF,68,1161,401,162,410,53,62,61,210,39,47,58,185
Omer Asik,HOU,27,C,48,968,280,101,190,78,126,25,378,14,37,59,92
D.J. Augustin,TOT,26,PG,71,1939,930,298,718,201,227,313,130,53,3,125,147
D.J. Augustin,TOR,26,PG,10,82,21,7,24,6,6,10,4,1,0,9,7
D.J. Augustin,CHI,26,PG,61,1857,909,291,694,195,221,303,126,52,3,116,140
Gustavo Ayon,ATL,28,C,26,429,112,52,102,8,20,28,125,25,10,29,47
Jeff Ayres,SAS,26,PF,73,952,240,101,174,38,55,60,258,13,25,63,146
Chris Babb,BOS,23,SG,14,132,22,8,30,0,0,3,17,6,0,3,13
Luke Babbitt,NOP,24,PF,27,473,170,60,154,14,18,29,88,7,11,15,52
Leandro Barbosa,PHO,31,PG,20,368,150,56,131,31,39,32,37,7,4,19,30
J.J. Barea,MIN,29,PG,79,1471,660,254,656,79,100,303,154,26,0,125,129
Andrea Bargnani,NYK,28,C,42,1257,558,222,502,84,102,45,222,14,52,58,100
Harrison Barnes,GSW,21,SF,78,2204,738,271,679,130,181,116,311,65,20,84,158
Matt Barnes,LAC,33,SF,63,1735,625,231,527,66,90,125,292,56,28,85,185
Will Barton,POR,23,SG,41,387,166,65,156,26,32,33,74,9,7,18,31
Brandon Bass,BOS,28,PF,82,2266,911,352,725,205,239,87,470,36,71,102,190
Shane Battier,MIA,35,SF,73,1468,298,105,275,15,23,63,138,50,39,21,124
Nicolas Batum,POR,25,SF,82,2956,1070,381,819,163,203,420,611,75,57,208,156
Jerryd Bayless,TOT,25,PG,72,1686,666,248,617,94,118,194,145,60,9,82,161
Jerryd Bayless,MEM,25,PG,31,650,250,90,239,45,57,66,59,20,5,22,72
Jerryd Bayless,BOS,25,PG,41,1036,416,158,378,49,61,128,86,40,4,60,89
Aron Baynes,SAS,27,C,53,491,161,71,163,19,21,34,145,2,5,36,77
Kent Bazemore,TOT,24,SG,67,911,403,147,343,66,109,91,117,43,13,79,102
Kent Bazemore,GSW,24,SG,44,268,101,36,97,19,36,20,40,12,6,28,42
Kent Bazemore,LAL,24,SG,23,643,302,111,246,47,73,71,77,31,7,51,60
Bradley Beal,WAS,20,SG,73,2530,1249,481,1149,149,189,243,273,71,18,128,153
Michael Beasley,MIA,25,SF,55,831,436,177,355,61,79,42,172,23,21,57,93
Marco Belinelli,SAS,27,SF,80,2016,911,337,695,111,131,179,226,50,7,95,130
Anthony Bennett,CLE,20,SF,52,663,217,80,225,44,69,17,155,21,8,47,93
Patrick Beverley,HOU,25,PG,56,1751,573,199,481,83,102,151,196,77,23,66,174
Andris Biedrins,UTA,27,C,6,45,3,1,1,1,6,0,17,0,0,2,6
Chauncey Billups,DET,37,SG,19,309,72,24,79,10,12,42,28,8,1,25,25
Bismack Biyombo,CHA,21,C,77,1072,222,88,144,46,89,8,366,7,86,40,124
DeJuan Blair,DAL,24,PF,78,1214,497,210,393,77,121,70,368,60,21,77,192
Steve Blake,TOT,33,PG,55,1498,378,133,353,33,43,307,159,54,8,102,85
Steve Blake,LAL,33,PG,27,891,256,88,233,28,35,205,103,34,2,71,49
Steve Blake,GSW,33,PG,28,607,122,45,120,5,8,102,56,20,6,31,36
Andray Blatche,BRK,27,PF,73,1618,821,321,674,164,221,112,390,75,38,110,166
Eric Bledsoe,PHO,24,PG,43,1416,763,265,556,183,237,235,202,69,14,143,99
Vander Blue,BOS,21,SG,3,15,5,2,4,1,5,1,3,0,0,2,1
Keith Bogans,BOS,33,SG,6,55,12,3,6,3,3,3,3,1,0,1,2
Andrew Bogut,GSW,29,C,67,1769,492,235,375,22,64,112,671,47,121,97,210
Matt Bonner,SAS,33,PF,61,690,197,73,164,9,12,31,130,15,11,16,49
Trevor Booker,WAS,26,PF,72,1553,491,222,403,47,76,64,379,41,45,58,131
Carlos Boozer,CHI,32,PF,76,2141,1042,447,980,148,193,118,632,53,22,154,216
Chris Bosh,MIA,29,C,79,2531,1281,492,953,223,272,87,522,80,78,125,192
Avery Bradley,BOS,23,PG,60,1855,891,361,825,90,112,85,226,63,11,96,145
Elton Brand,ATL,34,PF,73,1414,419,179,332,61,94,74,361,40,88,60,192
Corey Brewer,MIN,27,SF,81,2609,998,388,807,163,227,135,207,151,30,105,210
Ronnie Brewer,TOT,28,SF,24,160,7,3,15,0,2,10,14,6,1,2,4
Ronnie Brewer,HOU,28,SF,23,158,7,3,15,0,2,10,14,6,1,2,4
Ronnie Brewer,CHI,28,SF,1,2,0,0,0,0,0,0,0,0,0,0,0
Aaron Brooks,TOT,29,PG,72,1557,645,233,581,83,95,233,140,52,13,117,146
Aaron Brooks,HOU,29,PG,43,716,299,104,263,37,44,83,62,25,6,51,76
Aaron Brooks,DEN,29,PG,29,841,346,129,318,46,51,150,78,27,7,66,70
MarShon Brooks,TOT,25,SG,35,316,159,57,125,32,44,25,54,14,4,24,21
MarShon Brooks,BOS,25,SG,10,73,31,9,24,11,14,4,19,1,1,7,5
MarShon Brooks,GSW,25,SG,7,15,13,5,13,3,4,0,5,1,0,0,0
MarShon Brooks,LAL,25,SG,18,228,115,43,88,18,26,21,30,12,3,17,16
Lorenzo Brown,PHI,23,PG,26,224,64,26,86,9,13,41,28,13,3,16,19
Shannon Brown,TOT,28,SG,29,251,63,24,66,15,21,9,28,13,0,18,24
Shannon Brown,SAS,28,SG,10,103,23,8,28,7,9,5,13,1,0,8,12
Shannon Brown,NYK,28,SG,19,148,40,16,38,8,12,4,15,12,0,10,12
Kobe Bryant,LAL,35,SG,6,177,83,31,73,18,21,38,26,7,1,34,9
Chase Budinger,MIN,25,SF,41,751,274,100,254,32,39,31,103,19,2,24,58
Reggie Bullock,LAC,22,SF,43,395,115,43,121,7,9,12,54,9,1,13,26
Trey Burke,UTA,21,PG,70,2262,895,341,897,102,113,396,208,42,6,131,145
Alec Burks,UTA,22,SG,78,2193,1089,380,831,279,373,212,257,69,14,149,190
Caron Butler,TOT,33,SF,56,1419,587,213,540,63,75,82,229,47,17,60,120
Caron Butler,MIL,33,SF,34,821,374,137,354,47,56,56,158,23,11,52,64
Caron Butler,OKC,33,SF,22,598,213,76,186,16,19,26,71,24,6,8,56
Jimmy Butler,CHI,24,SG,67,2591,878,275,693,260,338,175,330,127,36,102,106
Rasual Butler,IND,34,SG,50,378,136,51,110,8,14,17,41,7,9,11,30
Dwight Buycks,TOR,24,PG,14,146,43,15,48,8,9,10,23,8,0,10,11
Andrew Bynum,TOT,26,C,26,516,225,94,225,37,49,29,145,6,29,34,31
Andrew Bynum,CLE,26,C,24,480,202,85,203,32,42,27,126,6,28,30,28
Andrew Bynum,IND,26,C,2,36,23,9,22,5,7,2,19,0,1,4,3
Will Bynum,DET,31,PG,56,1054,485,184,430,97,121,216,99,39,7,103,121
Nick Calathes,MEM,24,SG,71,1173,347,142,311,44,72,207,137,66,8,101,117
Jose Calderon,DAL,32,PG,81,2468,925,341,748,52,63,377,192,69,11,103,136
Kentavious Caldwell-Pope,DET,20,SG,80,1583,470,182,460,47,61,55,156,75,12,28,145
Isaiah Canaan,HOU,22,PG,22,252,101,31,87,21,29,22,24,8,4,21,25
DeMarre Carroll,ATL,27,SF,73,2341,810,302,642,109,141,134,403,108,21,79,188
Vince Carter,DAL,37,SG,81,1973,967,330,811,161,196,212,284,61,35,108,209
Michael Carter-Williams,PHI,22,PG,70,2414,1167,427,1054,258,367,441,437,130,43,247,213
Omri Casspi,HOU,25,PF,71,1283,490,173,410,83,122,88,260,44,14,72,100
Mario Chalmers,MIA,27,PG,73,2178,716,254,560,121,163,357,214,119,16,162,210
Tyson Chandler,NYK,31,C,55,1662,480,191,322,98,155,59,529,36,63,71,145
Wilson Chandler,DEN,26,SF,62,1927,846,307,738,110,152,114,294,46,31,79,193
Josh Childress,NOP,30,SF,4,24,0,0,0,0,0,2,3,1,0,1,1
Dionte Christmas,PHO,27,SF,31,198,71,22,62,18,24,8,38,2,3,6,19
Earl Clark,TOT,26,PF,54,768,257,97,261,22,34,18,143,17,25,31,67
Earl Clark,CLE,26,PF,45,698,234,90,240,14,24,16,127,16,19,30,61
Earl Clark,NYK,26,PF,9,70,23,7,21,8,10,2,16,1,6,1,6
Ian Clark,UTA,22,SG,23,172,68,26,67,5,7,15,19,8,2,14,24
Victor Claver,POR,25,SF,21,184,47,17,42,10,11,12,39,3,3,11,16
Norris Cole,MIA,25,PG,82,2014,527,207,500,53,68,248,160,77,5,127,156
Jason Collins,BRK,35,C,22,172,25,11,24,3,4,4,19,8,1,7,30
Darren Collison,LAC,26,PG,80,2069,911,324,694,192,224,297,188,93,15,132,150
Nick Collison,OKC,33,PF,81,1353,338,134,241,66,93,104,293,30,28,71,187
Mike Conley,MEM,26,PG,73,2446,1256,463,1030,225,276,441,213,110,13,150,141
Chris Copeland,IND,29,SF,41,265,153,55,117,10,14,18,32,3,7,14,38
DeMarcus Cousins,SAC,23,C,71,2298,1614,591,1191,432,595,207,831,109,91,251,270
Robert Covington,HOU,23,SF,7,34,16,6,14,0,0,0,5,2,0,1,3
Allen Crabbe,POR,21,SG,15,100,33,12,33,3,4,6,9,2,1,3,10
Jamal Crawford,LAC,33,SG,69,2094,1282,421,1011,279,322,223,158,59,12,135,120
Jordan Crawford,TOT,25,SG,81,1859,890,327,788,146,169,281,183,47,5,134,120
Jordan Crawford,BOS,25,SG,39,1198,536,188,455,110,126,224,120,34,3,84,76
Jordan Crawford,GSW,25,SG,42,661,354,139,333,36,43,57,63,13,2,50,44
Jae Crowder,DAL,23,SF,78,1254,356,130,296,46,61,60,194,59,21,41,100
Dante Cunningham,MIN,26,PF,81,1635,510,236,509,38,67,83,330,62,58,42,146
Jared Cunningham,TOT,22,SG,13,80,26,6,21,13,16,8,6,3,0,2,16
Jared Cunningham,ATL,22,SG,5,22,2,1,2,0,2,3,1,0,0,2,3
Jared Cunningham,SAC,22,SG,8,58,24,5,19,13,14,5,5,3,0,0,13
Seth Curry,TOT,23,PG,2,13,3,1,3,0,0,0,1,2,0,0,0
Seth Curry,MEM,23,PG,1,4,0,0,0,0,0,0,0,0,0,0,0
Seth Curry,CLE,23,PG,1,9,3,1,3,0,0,0,1,2,0,0,0
Stephen Curry,GSW,25,PG,78,2846,1873,652,1383,308,348,666,334,128,14,294,194
Samuel Dalembert,DAL,32,C,80,1614,529,214,377,101,137,38,541,41,94,90,210
Troy Daniels,HOU,22,SG,5,75,42,15,31,0,0,5,4,0,0,3,6
Luigi Datome,DET,26,SF,34,238,83,34,97,8,10,11,46,6,1,11,20
Brandon Davies,PHI,22,PF,51,575,144,54,128,34,53,28,109,24,8,35,92
Anthony Davis,NOP,20,C,67,2358,1394,522,1005,348,440,105,673,89,189,109,200
Ed Davis,MEM,24,PF,63,956,357,155,290,47,89,27,260,17,43,40,114
Glen Davis,TOT,28,PF,68,1662,641,271,593,95,137,77,351,58,29,76,159
Glen Davis,ORL,28,PF,45,1354,545,232,512,77,114,70,282,46,22,59,111
Glen Davis,LAC,28,PF,23,308,96,39,81,18,23,7,69,12,7,17,48
Austin Daye,TOT,25,SF,22,148,66,24,68,6,10,8,27,4,4,5,18
Austin Daye,TOR,25,SF,8,33,8,3,13,2,3,2,7,0,0,0,4
Austin Daye,SAS,25,SF,14,115,58,21,55,4,7,6,20,4,4,5,14
Nando De Colo,TOT,26,SF,47,494,177,64,153,31,35,65,73,22,6,35,48
Nando De Colo,SAS,26,SF,26,301,112,42,93,18,22,32,45,15,3,21,25
Nando De Colo,TOR,26,SF,21,193,65,22,60,13,13,33,28,7,3,14,23
Dewayne Dedmon,TOT,24,C,31,390,97,38,83,21,32,5,127,7,22,18,66
Dewayne Dedmon,GSW,24,C,4,6,1,0,1,1,2,0,0,0,0,0,1
Dewayne Dedmon,PHI,24,C,11,150,37,15,29,7,13,3,49,0,9,9,28
Dewayne Dedmon,ORL,24,C,16,234,59,23,53,13,17,2,78,7,13,9,37
Matthew Dellavedova,CLE,23,SG,72,1271,339,122,296,38,48,187,123,33,5,60,121
Luol Deng,TOT,28,SF,63,2213,1011,371,860,212,268,183,361,62,9,114,111
Luol Deng,CHI,28,SF,23,860,438,160,354,101,124,85,158,24,4,59,53
Luol Deng,CLE,28,SF,40,1353,573,211,506,111,144,98,203,38,5,55,58
DeMar DeRozan,TOR,24,SG,79,3017,1791,604,1407,519,630,313,343,86,28,176,197
Boris Diaw,SAS,31,PF,79,1974,717,302,580,68,92,222,326,44,32,121,140
Gorgui Dieng,MIN,24,C,60,818,286,113,227,59,93,39,300,30,50,54,108
Toney Douglas,TOT,27,PG,51,675,202,73,190,25,34,68,87,19,5,34,81
Toney Douglas,GSW,27,PG,24,265,88,32,86,5,8,19,26,6,2,16,34
Toney Douglas,MIA,27,PG,27,410,114,41,104,20,26,49,61,13,3,18,47
Chris Douglas-Roberts,CHA,27,SF,49,1016,339,111,252,66,82,51,119,29,16,36,61
Goran Dragic,PHO,27,SG,76,2668,1542,552,1093,316,416,447,245,104,22,213,206
Andre Drummond,DET,20,C,81,2619,1095,479,769,137,328,35,1071,101,131,110,273
Jared Dudley,LAC,28,SF,74,1729,511,196,447,38,58,104,160,41,10,56,146
Tim Duncan,SAS,37,C,74,2158,1119,444,906,231,316,220,721,43,139,159,134
Mike Dunleavy,CHI,33,SF,82,2584,929,333,774,140,164,186,345,64,46,108,163
Kevin Durant,OKC,25,SF,81,3122,2593,849,1688,703,805,445,598,103,59,285,174
Shane Edwards,CLE,26,SF,2,12,2,1,3,0,0,0,2,0,0,1,1
Wayne Ellington,DAL,26,SG,45,393,145,55,126,10,11,19,43,16,2,11,33
Monta Ellis,DAL,28,PG,82,3023,1560,576,1278,339,430,471,295,141,23,264,197
Melvin Ely,NOP,35,C,2,27,6,3,6,0,0,0,1,0,1,0,5
Jeremy Evans,UTA,26,SF,66,1209,401,175,332,51,75,44,310,42,46,40,139
Reggie Evans,TOT,33,PF,54,899,214,71,150,72,130,21,334,37,3,58,119
Reggie Evans,BRK,33,PF,30,399,81,23,59,35,65,5,149,13,2,28,54
Reggie Evans,SAC,33,PF,24,500,133,48,91,37,65,16,185,24,1,30,65
Tyreke Evans,NOP,24,SF,72,2028,1042,391,897,239,310,363,341,84,21,175,155
Kenneth Faried,DEN,24,PF,80,2178,1096,447,820,202,311,96,684,70,69,135,193
Jordan Farmar,LAL,27,PG,41,912,416,151,364,44,59,199,104,38,8,95,65
Vitor Faverani,BOS,25,C,37,488,164,64,147,24,37,16,128,14,27,41,74
Derrick Favors,UTA,22,PF,73,2201,970,390,747,190,284,91,637,75,108,129,236
Carrick Felix,CLE,23,SG,7,38,19,7,14,3,4,4,6,0,0,4,4
Raymond Felton,NYK,29,PG,65,2017,630,240,608,88,122,365,197,78,27,129,157
Landry Fields,TOR,25,SF,30,322,68,27,67,14,22,20,59,10,3,11,25
Derek Fisher,OKC,39,SG,81,1428,425,141,361,55,71,117,122,70,3,49,157
Evan Fournier,DEN,21,SG,76,1503,638,228,544,93,123,112,202,34,7,100,179
Randy Foye,DEN,30,SG,81,2485,1068,361,875,157,185,287,232,67,39,145,205
Jamaal Franklin,MEM,22,SG,21,161,39,16,39,2,2,6,23,4,2,11,23
Jimmer Fredette,TOT,24,SG,49,519,273,107,227,19,21,64,52,14,3,48,35
Jimmer Fredette,SAC,24,SG,41,463,241,94,198,17,19,61,45,14,3,44,28
Jimmer Fredette,CHI,24,SG,8,56,32,13,29,2,2,3,7,0,0,4,7
Joel Freeland,POR,26,C,52,727,174,77,162,20,29,36,208,10,22,32,95
Channing Frye,PHO,30,PF,82,2312,910,336,778,78,95,98,416,60,63,89,245
Francisco Garcia,HOU,32,SF,55,1083,315,118,294,10,19,63,122,27,33,30,120
Kevin Garnett,BRK,37,C,54,1109,352,157,356,38,47,82,358,43,40,69,123
Diante Garrett,UTA,25,PG,71,1048,248,101,265,10,12,120,97,41,5,75,75
Marc Gasol,MEM,29,C,59,1970,859,336,711,185,241,215,424,59,76,111,150
Pau Gasol,LAL,33,C,60,1884,1041,425,885,187,254,201,580,27,92,141,124
Rudy Gay,TOT,27,SF,73,2531,1457,537,1179,318,387,209,437,95,56,224,171
Rudy Gay,TOR,27,SF,18,639,350,130,335,68,88,40,133,28,23,59,47
Rudy Gay,SAC,27,SF,55,1892,1107,407,844,250,299,169,304,67,33,165,124
Alonzo Gee,CLE,26,SF,65,1020,258,98,236,43,61,47,149,39,15,44,96
Paul George,IND,23,SF,80,2898,1737,577,1362,401,464,283,542,151,22,224,198
Taj Gibson,CHI,28,PF,82,2351,1069,429,896,211,281,91,558,41,112,150,207
Manu Ginobili,SAS,36,SG,68,1550,838,294,627,160,188,293,202,70,17,139,128
Rudy Gobert,UTA,21,C,45,434,104,36,74,32,65,7,155,8,41,32,57
Ryan Gomes,OKC,31,SF,5,34,6,3,8,0,0,1,4,0,0,1,5
Drew Gooden,WAS,32,C,22,395,183,76,143,24,27,15,114,10,7,17,53
Archie Goodwin,PHO,19,SG,52,533,194,76,167,37,55,20,87,20,11,44,45
Ben Gordon,CHA,30,SG,19,279,99,37,108,17,21,21,27,10,2,21,18
Eric Gordon,NOP,25,SG,64,2057,988,356,817,175,223,208,165,74,12,134,114
Marcin Gortat,WAS,29,C,81,2655,1068,455,840,157,229,138,767,41,121,126,201
Danny Granger,TOT,30,SF,41,847,338,116,307,63,67,41,133,12,17,46,62
Danny Granger,IND,30,SF,29,653,242,80,223,51,53,33,105,9,13,36,41
Danny Granger,LAC,30,SF,12,194,96,36,84,12,14,8,28,3,4,10,21
Aaron Gray,TOT,29,C,37,355,65,27,61,11,20,22,111,10,8,31,64
Aaron Gray,TOR,29,C,4,20,5,2,3,1,2,3,8,0,0,4,7
Aaron Gray,SAC,29,C,33,335,60,25,58,10,18,19,103,10,8,27,57
Danny Green,SAS,26,SG,68,1651,618,218,505,50,63,104,229,65,61,76,107
Draymond Green,GSW,23,SF,82,1797,511,187,459,82,123,152,409,102,72,91,231
Gerald Green,PHO,28,SG,82,2330,1295,448,1006,195,230,122,275,70,42,145,220
Jeff Green,BOS,27,SF,82,2805,1382,482,1171,283,356,138,380,57,47,165,180
Willie Green,LAC,32,SG,55,869,273,102,271,28,34,50,78,22,11,34,96
Blake Griffin,LAC,24,PF,80,2863,1930,718,1359,482,674,309,757,92,51,224,265
Jorge Gutierrez,BRK,25,PG,15,244,62,25,54,9,12,30,22,10,1,14,37
Jordan Hamilton,TOT,23,SF,60,1019,404,147,376,40,51,52,194,44,20,46,67
Jordan Hamilton,DEN,23,SF,39,670,266,99,254,23,31,34,133,31,13,27,31
Jordan Hamilton,HOU,23,SF,21,349,138,48,122,17,20,18,61,13,7,19,36
Justin Hamilton,TOT,23,C,8,72,26,9,20,5,5,0,7,5,0,4,8
Justin Hamilton,CHA,23,C,1,4,0,0,0,0,0,0,0,1,0,1,0
Justin Hamilton,MIA,23,C,7,68,26,9,20,5,5,0,7,4,0,3,8
Tyler Hansbrough,TOR,28,PF,64,978,312,93,196,126,185,17,287,28,19,47,132
Tim Hardaway,NYK,21,SG,81,1875,824,294,687,106,128,66,121,44,7,47,144
James Harden,HOU,24,SG,73,2777,1851,549,1205,576,665,446,344,115,29,265,177
Maurice Harkless,ORL,20,SF,80,1950,592,224,483,85,143,80,264,97,50,86,140
Josh Harrellson,DET,24,C,32,317,93,38,82,5,7,15,76,6,15,10,44
Al Harrington,WAS,33,PF,34,511,225,82,207,27,35,28,80,14,0,34,72
Devin Harris,DAL,30,PG,40,818,315,96,254,92,115,178,85,28,2,59,72
Elias Harris,LAL,24,SF,2,11,0,0,1,0,0,1,1,1,0,0,0
Manny Harris,LAL,24,SG,9,180,73,28,70,10,12,11,34,4,1,9,10
Mike Harris,UTA,30,PF,20,225,84,29,61,26,27,5,33,16,7,11,36
Tobias Harris,ORL,21,PF,61,1850,893,332,716,197,244,82,424,41,24,78,143
Udonis Haslem,MIA,33,PF,46,653,173,74,146,25,44,13,175,11,15,24,79
Spencer Hawes,TOT,25,C,80,2470,1053,403,883,119,152,240,660,44,94,173,237
Spencer Hawes,PHI,25,C,53,1666,688,264,586,79,101,176,452,31,67,119,154
Spencer Hawes,CLE,25,C,27,804,365,139,297,40,51,64,208,13,27,54,83
Chuck Hayes,TOT,30,C,61,754,132,56,130,20,25,35,210,34,12,33,95
Chuck Hayes,SAC,30,C,16,179,33,14,32,5,7,6,47,11,2,7,18
Chuck Hayes,TOR,30,C,45,575,99,42,98,15,18,29,163,23,10,26,77
Gordon Hayward,UTA,23,SF,77,2800,1248,426,1032,311,381,400,391,110,40,212,155
Gerald Henderson,CHA,26,SG,77,2461,1081,403,930,235,309,199,310,51,32,113,159
Xavier Henry,LAL,22,SF,43,908,432,144,345,116,177,51,114,44,7,57,79
John Henson,MIL,23,PF,70,1856,779,344,639,91,177,113,497,41,116,114,185
Roy Hibbert,IND,27,C,81,2409,871,331,754,207,269,91,538,29,182,148,269
J.J. Hickson,DEN,25,PF,69,1859,814,332,654,150,290,96,632,47,51,128,177
Nene Hilario,WAS,31,PF,53,1560,754,299,594,155,266,153,294,64,47,117,164
George Hill,IND,27,PG,76,2434,781,272,616,142,176,265,283,75,23,92,158
Jordan Hill,LAL,26,PF,72,1500,696,286,521,124,181,54,535,29,64,75,172
Solomon Hill,IND,22,SF,28,226,47,17,40,6,7,12,41,5,2,13,19
Kirk Hinrich,CHI,33,PG,73,2116,666,243,619,95,125,286,192,80,26,120,203
Jrue Holiday,NOP,23,PG,34,1143,487,203,454,51,63,268,142,56,12,105,92
Ryan Hollins,LAC,29,PF,61,482,141,53,72,35,56,8,90,9,31,29,87
Scotty Hopson,CLE,24,SG,2,7,1,0,4,1,2,1,0,1,0,0,0
Al Horford,ATL,27,C,29,958,538,238,420,58,85,76,244,27,44,64,56
Dwight Howard,HOU,28,C,71,2396,1297,473,800,349,638,131,866,60,128,229,240
Robbie Hummel,MIN,24,SF,53,655,181,67,177,15,16,23,132,16,2,10,57
Kris Humphries,BOS,28,PF,69,1376,579,231,461,117,144,67,409,31,61,64,136
Serge Ibaka,OKC,24,PF,81,2666,1227,524,978,156,199,85,709,39,219,123,233
Andre Iguodala,GSW,30,SF,63,2040,588,220,458,86,132,263,293,95,18,100,103
Ersan Ilyasova,MIL,26,PF,55,1478,618,237,579,107,130,72,342,46,8,61,135
Kyrie Irving,CLE,21,PG,71,2496,1478,532,1237,291,338,433,259,108,23,190,163
Royal Ivey,OKC,32,SG,2,5,0,0,2,0,0,0,1,0,0,0,1
Jarrett Jack,CLE,30,PG,80,2252,760,286,698,125,149,324,223,56,22,133,133
Reggie Jackson,OKC,23,PG,80,2277,1047,403,916,158,177,331,313,85,9,168,142
Stephen Jackson,LAC,35,SF,9,107,15,6,26,2,4,5,10,6,1,6,11
Bernard James,DAL,28,C,30,146,28,11,23,6,11,3,42,3,8,10,24
Damion James,SAS,26,G-F,5,50,6,2,9,2,2,3,12,0,1,1,3
LeBron James,MIA,29,PF,77,2902,2089,767,1353,439,585,488,533,121,26,270,126
Mike James,CHI,38,PG,11,77,11,5,21,0,2,17,7,2,0,5,11
Antawn Jamison,LAC,37,PF,22,248,84,29,92,18,25,7,55,9,3,7,29
Othyus Jeffers,TOT,28,SG,6,47,9,3,6,3,4,1,9,0,0,1,3
Othyus Jeffers,SAS,28,SG,4,34,7,3,5,1,2,1,6,0,0,0,2
Othyus Jeffers,MIN,28,G,2,13,2,0,1,2,2,0,3,0,0,1,1
Al Jefferson,CHA,29,C,73,2553,1594,700,1376,191,277,155,792,67,79,124,176
Richard Jefferson,UTA,33,SF,82,2213,831,294,654,120,162,130,219,56,14,94,168
John Jenkins,ATL,22,SG,13,158,40,16,42,4,4,11,22,1,1,11,11
Brandon Jennings,DET,24,PG,80,2728,1241,423,1135,241,321,609,244,101,8,215,157
Jonas Jerebko,DET,26,PF,64,741,270,98,208,43,59,39,175,21,6,43,85
Amir Johnson,TOR,26,PF,77,2214,799,344,612,91,143,115,505,56,88,123,271
Chris Johnson,BOS,23,SF,40,789,250,85,214,37,43,31,97,27,4,22,63
James Johnson,MEM,26,SF,52,956,384,143,308,76,90,111,166,42,57,66,102
Joe Johnson,BRK,32,SG,79,2575,1245,462,1018,159,195,216,270,47,10,120,129
Orlando Johnson,TOT,24,SG,45,392,100,36,113,19,26,20,55,6,2,15,26
Orlando Johnson,IND,24,SG,38,342,91,33,96,17,22,16,51,6,1,14,23
Orlando Johnson,SAC,24,SG,7,50,9,3,17,2,4,4,4,0,1,1,3
Wesley Johnson,LAL,26,SF,79,2240,715,277,651,61,77,124,348,86,77,90,207
Darius Johnson-Odom,PHI,24,SG,3,15,0,0,7,0,2,1,2,1,0,2,3
