player,team,age,position,games_played,minutes_played,total_points,field_goals,field_goals_attempted,free_throws,free_throws_attempted,assists,rebounds,steals,blocks,turnovers,personal_fouls
Quincy Acy,TOT,23,SF,63,847,171,66,141,35,53,28,216,23,26,30,122
Quincy Acy,TOR,23,SF,7,61,19,6,14,5,8,4,15,4,3,2,8
Quincy Acy,SAC,23,SF,56,786,152,60,127,30,45,24,201,19,23,28,114
Steven Adams,OKC,20,C,81,1197,265,93,185,79,136,43,332,40,57,71,203
Jeff Adrien,TOT,27,PF,53,961,362,143,275,76,119,38,306,24,36,39,108
Jeff Adrien,CHA,27,PF,25,256,57,22,40,13,25,7,88,7,15,8,35
Jeff Adrien,MIL,27,PF,28,705,305,121,235,63,94,31,218,17,21,31,73
Arron Afflalo,ORL,28,SG,73,2552,1330,464,1011,274,336,248,262,35,3,146,136
Alexis Ajinca,NOP,25,C,56,951,328,136,249,56,67,40,277,23,46,63,187
Cole Aldrich,NYK,25,C,46,330,92,33,61,26,30,14,129,8,30,18,40
LaMarcus Aldridge,POR,28,PF,69,2498,1603,652,1423,296,360,178,765,63,68,123,147
Lavoy Allen,TOT,24,PF,65,1072,303,134,300,33,50,71,311,24,33,44,126
Lavoy Allen,PHI,24,PF,51,960,263,117,266,27,40,65,277,22,27,40,115
Lavoy Allen,IND,24,PF,14,112,40,17,34,6,10,6,34,2,6,4,11
Ray Allen,MIA,38,SG,73,1936,701,240,543,105,116,143,205,54,8,84,115
Tony Allen,MEM,32,SG,55,1278,495,204,413,76,121,94,208,90,19,90,121
Al-Farouq Aminu,NOP,23,SF,80,2045,572,234,494,91,137,114,496,82,38,88,147
Lou Amundson,TOT,31,PF,19,185,38,16,32,6,24,6,55,9,11,14,49
Lou Amundson,NOP,31,PF,18,184,38,16,32,6,24,6,55,9,11,14,49
Lou Amundson,CHI,31,PF,1,1,0,0,0,0,0,0,0,0,0,0,0
Chris Andersen,MIA,35,C,72,1396,477,177,275,120,169,19,379,32,97,53,162
Alan Anderson,BRK,31,SF,78,1773,564,194,485,92,118,81,175,48,11,62,147
James Anderson,PHI,24,SG,80,2309,810,309,717,77,106,149,300,74,28,106,154
Ryan Anderson,NOP,25,PF,22,795,436,155,354,59,62,17,142,10,7,20,47
Giannis Antetokounmpo,MIL,19,SF,77,1897,525,173,418,138,202,150,339,60,61,122,173
Carmelo Anthony,NYK,29,PF,77,2982,2112,743,1643,459,541,242,622,95,51,198,224
Joel Anthony,TOT,31,C,33,186,28,12,32,4,8,2,38,3,12,3,17
