player,age,position,team,played_whole_season,games_played,minutes_played,total_points,field_goals,field_goals_attempted,free_throws,free_throws_attempted,assists,rebounds,steals,blocks,turnovers,personal_fouls
DeMarre Carroll,25,PF,DEN,false,4,21,12,6,6,0,0,3,3,0,0,2,1
DeMarre Carroll,25,SF,UTA,false,20,327,95,37,99,14,16,15,50,12,1,9,36
Matt Carroll,31,SG,CHA,true,53,596,142,52,157,30,38,38,58,16,7,24,52
Anthony Carter,36,PG,TOR,true,24,209,47,17,53,8,10,34,33,8,4,17,20
Vince Carter,35,SG,DAL,true,61,1542,615,223,542,95,115,139,205,56,25,84,134
Omri Casspi,23,SF,CLE,true,65,1341,459,166,412,74,108,66,228,37,21,64,115
Mario Chalmers,25,PG,MIA,true,64,1825,627,223,498,80,101,222,171,97,11,142,166
Tyson Chandler,29,C,NYK,true,62,2061,699,241,355,217,315,56,612,56,89,102,186
Wilson Chandler,24,SF,DEN,true,8,215,75,31,79,10,12,17,41,6,6,18,18
Josh Childress,28,SF,PHO,true,34,491,100,48,99,0,2,34,95,14,6,9,38
Earl Clark,24,PF,ORL,true,45,559,123,51,139,21,29,18,124,12,32,25,72
Norris Cole,23,PG,MIA,true,65,1260,441,177,450,66,85,133,91,44,2,105,124
Jason Collins,33,C,ATL,true,30,308,39,16,40,7,15,10,48,4,3,10,34
Darren Collison,24,PG,IND,true,60,1878,621,230,523,127,153,287,187,49,14,114,101
Nick Collison,31,PF,OKC,true,63,1307,284,120,201,44,62,82,274,33,28,61,153
Mike Conley,24,PG,MEM,true,62,2174,788,296,684,136,158,404,156,136,11,125,133
Brian Cook,31,PF,LAC,false,16,121,31,11,49,4,4,2,23,2,4,4,26
Brian Cook,31,PF,WAS,false,16,155,50,20,49,5,6,8,40,4,1,7,22
Daequan Cook,24,SG,OKC,true,57,989,311,109,296,14,22,15,122,22,11,16,69
DeMarcus Cousins,21,C,SAC,true,64,1950,1160,448,999,262,373,102,703,93,75,170,257
Jamal Crawford,31,PG,POR,true,60,1613,837,283,737,191,206,191,118,55,14,111,74
Jordan Crawford,23,SG,WAS,true,64,1753,938,349,872,161,203,190,168,59,5,141,111
Dante Cunningham,24,PF,MEM,true,64,1124,333,144,279,45,69,37,246,42,34,29,98
Eddy Curry,29,C,MIA,true,14,83,30,12,26,6,8,1,12,0,2,10,17
Stephen Curry,23,PG,GSW,true,26,732,383,145,296,38,47,138,88,39,8,65,62
Samuel Dalembert,30,C,HOU,true,65,1446,490,200,395,90,113,33,456,37,111,82,162
Erick Dampier,36,C,ATL,true,15,83,2,1,8,0,0,4,25,1,4,3,9
Marquis Daniels,31,SG,BOS,true,38,484,121,52,143,17,23,47,66,21,9,28,36
Baron Davis,32,PG,NYK,true,29,595,178,68,184,16,24,135,56,34,3,76,61
Ed Davis,22,PF,TOR,true,66,1534,415,172,335,71,106,60,438,40,63,67,156
Glen Davis,26,PF,ORL,true,61,1427,566,225,534,114,167,47,331,43,19,75,106
Josh Davis,31,PF,MEM,true,15,130,28,10,27,4,8,6,27,7,1,3,19
Eric Dawson,27,C,SAS,true,4,39,15,7,12,1,2,0,10,1,2,3,6
Austin Daye,23,SF,DET,true,41,603,194,73,227,35,43,33,91,22,21,40,62
Carlos Delfino,29,SF,MIL,true,54,1537,488,182,453,38,48,123,208,79,10,66,99
Luol Deng,26,SF,CHI,true,54,2129,828,311,755,127,165,157,350,56,36,96,81
Justin Dentmon,26,PG,SAS,false,2,19,4,2,6,0,0,1,1,1,0,1,2
Justin Dentmon,26,PG,TOR,false,4,72,22,8,22,4,6,9,7,1,0,6,8
DeMar DeRozan,22,SG,TOR,true,63,2206,1054,381,903,268,331,128,211,48,17,123,162
Boris Diaw,29,PF,CHA,false,37,1018,272,116,283,17,27,158,195,20,19,84,71
Boris Diaw,29,PF,SAS,false,20,406,93,40,68,5,8,47,85,14,6,28,54
Ike Diogu,28,PF,SAS,true,2,14,2,0,2,2,2,0,1,0,0,1,1
DeSagana Diop,30,C,CHA,true,27,325,31,15,42,1,6,23,85,6,13,19,36
Keyon Dooling,31,SG,BOS,true,46,662,182,66,163,23,31,51,39,13,2,34,57
Toney Douglas,25,PG,NYK,true,38,656,237,94,290,22,26,77,72,29,1,56,55
Goran Dragic,25,PG,HOU,true,66,1752,775,277,600,153,190,351,168,85,10,157,166
Jared Dudley,26,SG,PHO,true,65,2020,823,312,643,119,164,112,301,49,19,72,107
Chris Duhon,29,PG,ORL,true,63,1226,237,85,203,17,21,151,102,35,9,81,71
Tim Duncan,35,C,SAS,true,58,1634,895,361,733,173,249,132,520,38,88,97,98
Mike Dunleavy,31,SF,MIL,true,55,1445,677,239,504,116,143,117,204,28,8,58,87
Kevin Durant,23,SF,OKC,true,66,2546,1850,643,1297,431,501,231,527,88,77,248,133
Jerome Dyson,24,PG,NOH,true,9,180,67,19,48,28,36,18,19,11,2,20,19
Devin Ebanks,22,SG,LAL,true,24,396,97,37,89,23,35,12,54,11,6,18,26
Wayne Ellington,24,SG,MIN,true,51,973,311,122,302,32,40,33,99,26,10,26,56
Monta Ellis,26,SG,GSW,false,37,1365,811,305,704,151,186,223,127,56,12,123,84
Monta Ellis,26,SG,MIL,false,21,755,370,145,336,68,89,123,73,29,6,54,52
Francisco Elson,35,C,PHI,true,5,16,2,1,3,0,0,1,1,1,1,1,0
Andre Emmett,29,SF,NJN,true,6,45,13,4,7,5,8,1,6,2,1,2,2
Semih Erden,25,C,CLE,true,28,333,99,39,74,21,41,9,72,10,5,16,60
Jeremy Evans,24,SF,UTA,true,29,217,62,27,42,8,16,13,50,6,24,5,23
Maurice Evans,33,SF,WAS,true,24,343,117,45,112,10,13,9,24,14,0,10,36
Reggie Evans,31,PF,LAC,true,56,771,104,34,72,36,71,17,271,31,6,44,118
Tyreke Evans,22,SG,SAC,true,63,2162,1037,408,900,201,258,283,289,84,29,171,136
Christian Eyenga,22,SF,CLE,false,6,83,9,3,19,2,6,4,12,3,4,2,7
Christian Eyenga,22,SF,LAL,false,1,19,8,3,6,2,2,1,2,0,1,1,0
Kenneth Faried,22,PF,DEN,true,46,1037,471,181,309,109,164,36,352,34,47,54,116
Jordan Farmar,25,PG,NJN,true,39,831,406,147,315,57,63,129,61,24,2,68,49
Derrick Favors,20,PF,UTA,true,65,1376,570,222,445,126,194,43,425,38,65,103,145
Raymond Felton,27,PG,POR,true,60,1906,684,261,642,100,124,390,149,78,10,170,122
Rudy Fernandez,26,SG,DEN,true,31,710,268,99,225,30,43,75,65,31,3,40,37
Kyrylo Fesenko,25,C,IND,true,3,17,8,2,5,4,6,1,9,2,0,0,2
Landry Fields,23,SG,NYK,true,66,1894,580,236,513,77,137,169,278,79,17,102,99
Derek Fisher,37,PG,LAL,false,43,1101,252,92,240,44,53,142,92,40,3,58,85
Derek Fisher,37,PG,OKC,false,20,407,98,37,108,13,14,28,29,11,1,15,32
Jonny Flynn,22,PG,HOU,false,11,135,37,12,41,11,14,28,8,3,1,9,8
Jonny Flynn,22,PG,POR,false,18,281,94,34,90,18,25,68,31,3,1,27,15
Jeff Foote,24,C,NOH,true,4,39,4,2,6,0,0,0,6,0,1,2,5
Gary Forbes,26,SG,TOR,true,48,713,319,112,271,66,91,54,102,24,4,54,56
T.J. Ford,28,PG,SAS,true,14,191,51,19,43,11,14,45,18,9,2,23,23
Courtney Fortson,23,PG,LAC,false,4,46,17,5,12,6,9,5,8,0,0,5,3
Courtney Fortson,23,PG,HOU,false,6,49,18,6,20,4,6,5,7,3,0,5,2
Jeff Foster,35,C,IND,true,11,141,25,9,18,6,9,4,42,8,1,7,26
Randy Foye,28,SG,LAC,true,65,1682,712,256,644,73,85,146,138,46,24,73,130
Jimmer Fredette,22,PG,SAC,true,61,1135,462,172,446,40,48,108,73,30,3,67,73
Channing Frye,28,PF,PHO,true,64,1669,674,255,613,73,82,88,379,42,70,63,176
Dan Gadzuric,33,C,NYK,true,2,13,0,0,2,0,2,0,5,1,1,1,4
Sundiata Gaines,25,SG,NJN,true,57,793,291,102,271,59,96,126,108,55,2,52,58
Danilo Gallinari,23,SF,DEN,true,43,1351,628,193,466,182,209,116,202,42,23,68,86
Francisco Garcia,30,SF,SAC,true,49,798,234,86,229,24,30,31,99,36,37,22,73
Kevin Garnett,35,C,BOS,true,60,1864,947,391,777,162,189,175,494,56,61,107,141
Marc Gasol,27,C,MEM,true,65,2370,952,357,740,237,317,204,579,62,121,121,201
Pau Gasol,31,PF,LAL,true,65,2430,1129,459,917,204,261,237,678,37,88,142,127
Rudy Gay,25,SF,MEM,true,65,2422,1232,485,1067,208,263,147,417,95,55,161,138
Alonzo Gee,24,SG,CLE,true,63,1827,665,227,551,167,212,113,322,83,17,114,149
Paul George,21,SG,IND,true,66,1958,798,281,639,146,182,158,370,108,38,117,191
Daniel Gibson,25,SG,CLE,true,35,916,263,87,248,34,43,76,101,26,16,45,69
Taj Gibson,26,PF,CHI,true,63,1284,484,200,404,84,135,47,332,27,81,60,131
Manu Ginobili,34,SG,SAS,true,34,792,440,150,285,88,101,151,116,24,12,64,56
Mickell Gladness,25,PF,MIA,false,8,28,2,1,3,0,0,2,11,1,1,3,8
Mickell Gladness,25,PF,GSW,false,18,224,54,24,56,6,12,3,47,3,19,4,24
Ryan Gomes,29,SF,LAC,true,32,425,74,31,95,8,11,12,61,16,0,15,34
Drew Gooden,30,C,MIL,true,56,1469,766,287,657,176,208,144,363,46,34,109,112
Ben Gordon,28,SG,DET,true,52,1398,648,234,530,117,136,127,121,34,11,115,114
Eric Gordon,23,PG,NOH,true,9,310,185,63,140,49,65,31,25,13,4,24,20
Marcin Gortat,27,C,PHO,true,66,2114,1017,427,769,163,251,59,659,48,99,90,142
Andrew Goudelock,23,SG,LAL,true,40,419,175,68,174,11,12,20,31,4,0,21,32
Danny Granger,28,SF,IND,true,62,2062,1159,391,941,254,291,109,307,62,40,110,144
Aaron Gray,27,C,TOR,true,49,813,191,83,161,25,47,27,281,22,17,51,127
Danny Green,24,SG,SAS,true,66,1522,603,211,477,79,100,86,228,58,46,67,107
Gerald Green,26,SF,NJN,true,31,781,400,154,320,49,65,34,108,28,17,55,80
Willie Green,30,SG,ATL,true,53,922,404,153,325,48,56,40,80,23,6,33,74
Donte Greene,23,PF,SAC,true,53,777,285,108,266,44,55,34,133,18,29,32,67
Blake Griffin,22,PF,LAC,true,66,2392,1368,561,1022,244,468,210,717,54,48,150,216
Hamed Haddadi,26,C,MEM,true,35,206,70,26,48,18,26,8,71,1,26,21,43
Jordan Hamilton,21,SF,DEN,true,26,258,115,48,111,2,5,20,62,4,3,16,15
Richard Hamilton,33,SG,CHI,true,28,697,326,140,310,29,37,84,66,12,1,49,56
Tyler Hansbrough,26,PF,IND,true,66,1442,614,194,479,226,278,30,290,54,9,65,159
Luke Harangody,24,PF,CLE,true,21,231,60,23,65,9,12,6,53,6,3,4,17
James Harden,22,SG,OKC,true,62,1946,1044,309,629,312,369,229,252,62,15,137,150
Justin Harper,22,PF,ORL,true,14,84,20,9,31,0,1,2,12,2,3,6,5
Josh Harrellson,22,PF,NYK,true,37,540,162,63,149,16,26,11,144,23,20,20,48
Al Harrington,31,PF,DEN,true,64,1761,910,345,773,119,176,88,390,58,12,112,181
Devin Harris,28,PG,UTA,true,63,1741,715,241,542,156,209,316,112,64,13,122,136
Manny Harris,22,SG,CLE,true,26,456,173,60,150,41,59,31,70,13,6,27,28
Terrel Harris,24,SG,MIA,true,22,318,80,29,83,14,21,26,51,9,2,25,34
Tobias Harris,19,SF,MIL,true,42,479,208,79,169,44,54,22,101,13,7,31,45
Udonis Haslem,31,PF,MIA,true,64,1589,385,151,357,83,102,42,470,35,24,60,142
Spencer Hawes,23,C,PHI,true,37,920,355,156,319,40,55,98,270,16,48,55,100
Chuck Hayes,28,C,SAC,true,54,1039,172,73,170,26,39,77,234,36,17,50,111
Gordon Hayward,21,SF,UTA,true,66,2015,782,267,586,193,232,207,230,53,41,109,106
Lazar Hayward,25,SF,OKC,true,26,141,37,13,38,7,12,4,16,3,1,9,18
Brendan Haywood,32,C,DAL,true,54,1146,281,118,228,45,96,19,324,24,54,46,121
Gerald Henderson,24,SG,CHA,true,55,1831,830,332,723,155,204,126,225,49,20,100,128
Xavier Henry,20,SG,NOH,true,45,759,239,90,228,52,85,35,106,26,8,35,59
Roy Hibbert,25,C,IND,true,65,1937,834,332,668,170,239,108,572,32,128,128,195
J.J. Hickson,23,PF,SAC,false,35,644,165,64,173,37,58,22,177,18,17,39,44
J.J. Hickson,23,PF,POR,false,19,600,287,119,219,49,76,23,158,12,18,31,41
Cory Higgins,22,PG,CHA,true,38,423,150,52,160,42,60,36,35,5,6,39,40
Nene Hilario,29,C,DEN,false,28,826,376,143,281,90,133,61,208,36,25,77,69
Nene Hilario,29,C,WAS,false,11,284,159,68,112,23,35,19,83,6,13,19,26
George Hill,25,PG,IND,true,50,1274,481,168,380,91,117,145,151,42,17,52,98
Grant Hill,39,SF,PHO,true,49,1378,499,201,451,83,109,107,171,41,29,65,88
Jordan Hill,24,C,HOU,false,32,469,161,68,135,25,39,14,155,9,21,24,60
Jordan Hill,24,C,LAL,false,7,82,33,14,30,5,8,2,31,5,6,7,11
Kirk Hinrich,31,SG,ATL,true,48,1237,316,122,295,25,32,132,101,38,11,58,100
Darington Hobson,24,SG,MIL,true,5,39,4,2,13,0,0,6,3,0,0,2,1
Jrue Holiday,21,PG,PHI,true,65,2196,879,360,834,94,120,290,212,103,18,135,137
Ryan Hollins,27,C,CLE,false,24,362,89,28,56,33,55,6,56,4,12,24,55
Ryan Hollins,27,C,BOS,false,15,160,42,18,28,6,20,3,26,1,5,11,23
Tyler Honeycutt,21,SF,SAC,true,15,88,20,8,24,3,5,7,14,4,3,2,3
Al Horford,25,C,ATL,true,11,348,136,57,103,22,30,24,77,10,14,16,21
Dennis Horner,23,PF,NJN,true,8,22,5,1,4,3,4,0,5,0,0,1,1
Dwight Howard,26,C,ORL,true,54,2070,1113,416,726,281,572,104,785,81,116,175,159
Josh Howard,31,SF,UTA,true,43,991,372,144,361,75,97,50,158,32,10,53,91
Juwan Howard,38,PF,MIA,true,28,190,42,17,55,8,10,10,47,4,1,20,18
Lester Hudson,27,PG,CLE,false,13,314,165,59,151,32,38,35,46,14,3,30,26
Lester Hudson,27,PG,MEM,false,3,20,9,3,11,2,3,1,0,0,0,2,0
Larry Hughes,33,PG,ORL,true,9,114,12,5,22,1,2,7,5,2,0,12,10
Kris Humphries,26,PF,NJN,true,62,2162,855,323,671,209,278,90,681,50,74,119,173
Serge Ibaka,22,PF,OKC,true,66,1792,603,262,490,78,118,28,498,33,241,79,179
Andre Iguodala,28,SF,PHI,true,62,2209,771,287,632,121,196,339,381,107,30,115,92
Ersan Ilyasova,24,PF,MIL,true,60,1655,782,294,597,143,183,71,529,42,44,76,133
Kyrie Irving,19,PG,CLE,true,51,1558,944,350,747,171,196,275,191,54,20,160,110
Royal Ivey,30,SG,OKC,true,34,354,71,26,73,1,8,10,24,14,0,9,36
Jarrett Jack,28,PG,NOH,true,45,1530,700,266,583,129,148,285,176,31,9,106,93
Reggie Jackson,21,PG,OKC,true,45,501,140,51,159,25,29,71,53,25,1,36,31
Stephen Jackson,33,SF,MIL,false,26,712,274,97,272,50,60,77,82,26,6,66,61
Stephen Jackson,33,SF,SAS,false,21,500,187,62,153,44,54,41,81,28,7,37,38
Damion James,24,SF,NJN,true,7,170,34,13,35,8,12,3,33,7,7,12,17
LeBron James,27,SF,MIA,true,62,2326,1683,621,1169,387,502,387,492,115,50,213,96
Mike James,36,PG,CHI,true,11,120,53,20,49,7,8,29,10,4,2,14,20
Antawn Jamison,35,PF,CLE,true,65,2151,1118,421,1044,185,271,131,408,51,43,90,164
Al Jefferson,27,C,UTA,true,61,2075,1170,516,1048,137,177,134,585,47,101,62,155
Richard Jefferson,31,SF,SAS,false,41,1168,379,132,319,35,50,55,143,25,12,32,83
Richard Jefferson,31,SF,GSW,false,22,580,199,71,169,24,35,33,76,12,7,18,38
Jared Jeffries,30,PF,NYK,true,39,729,170,59,144,49,72,26,152,29,25,29,89
Charles Jenkins,22,PG,GSW,true,51,893,297,130,291,34,39,170,68,33,6,60,85
Brandon Jennings,22,PG,MIL,true,66,2331,1260,469,1121,193,239,365,226,104,22,146,114
Jonas Jerebko,24,PF,DET,true,64,1468,556,212,453,100,124,43,308,41,21,66,162
Yi Jianlian,24,PF,DAL,true,30,203,79,31,82,14,21,5,49,7,8,14,23
Amir Johnson,24,PF,TOR,true,64,1553,452,196,340,58,84,79,408,33,69,94,209
Armon Johnson,22,PG,POR,false,1,5,2,1,1,0,0,0,1,1,0,1,0
Armon Johnson,22,PG,NJN,false,8,119,45,19,42,6,6,11,12,4,0,5,9
Carldell Johnson,29,PG,NOH,true,15,119,27,11,35,1,3,22,9,8,0,7,11
Chris Johnson,26,C,POR,false,20,93,32,11,23,10,12,1,18,1,8,7,20
Chris Johnson,26,C,NOH,false,7,82,23,9,18,5,7,1,22,5,1,8,13
Ivan Johnson,27,PF,ATL,true,56,934,356,141,275,72,100,32,226,43,18,69,116
JaJuan Johnson,22,PF,BOS,true,36,298,114,54,121,6,9,6,58,5,14,14,25
James Johnson,24,SF,TOR,true,62,1561,566,233,518,81,115,122,292,71,84,101,177
Joe Johnson,30,SG,ATL,true,60,2127,1129,423,931,158,186,232,221,48,13,116,75
Trey Johnson,27,SG,NOH,true,11,61,21,8,14,5,5,4,12,1,0,5,10
Wesley Johnson,24,SF,MIN,true,65,1469,393,158,397,24,34,59,177,35,48,60,115
Dahntay Jones,31,SF,IND,true,65,1052,346,115,281,83,99,63,117,23,11,46,119
Dominique Jones,23,SG,DAL,true,33,268,88,29,73,29,37,42,44,10,5,28,28
James Jones,31,SG,MIA,true,51,666,185,57,150,25,30,19,49,17,9,10,45
Solomon Jones,27,PF,LAC,false,10,96,6,1,8,4,5,2,17,4,5,5,12
Solomon Jones,27,C,NOH,false,11,196,61,23,53,15,18,7,41,5,6,13,31
DeAndre Jordan,23,C,LAC,true,66,1798,486,206,326,74,141,17,546,30,134,74,189
Jerome Jordan,25,C,NYK,true,21,108,42,17,33,8,10,4,27,1,6,2,15
Cory Joseph,20,PG,SAS,true,29,266,58,22,70,11,17,34,25,7,3,12,16
Chris Kaman,29,C,NOH,true,47,1372,616,266,597,84,107,101,364,25,77,129,106
Enes Kanter,19,C,UTA,true,66,874,304,117,236,70,105,8,278,18,23,54,87
Jason Kapono,30,SG,LAL,true,27,269,54,21,55,4,4,11,14,3,0,6,21
D.J. Kennedy,22,SF,CLE,true,2,59,12,5,12,0,2,3,7,2,0,3,7
Jason Kidd,38,PG,DAL,true,48,1379,299,99,273,22,28,264,198,82,10,91,83
Linas Kleiza,27,SF,TOR,true,49,1057,473,165,410,81,100,46,199,23,4,64,119
Brandon Knight,20,PG,DET,true,66,2129,847,319,769,104,137,251,211,49,10,171,154
Kyle Korver,30,SG,CHI,true,65,1469,529,178,412,55,66,112,159,36,15,53,110
Kosta Koufos,22,C,DEN,true,48,792,263,115,192,33,55,15,258,24,41,33,96
Carl Landry,28,PF,NOH,true,41,999,511,182,362,147,184,38,214,13,12,64,89
Ty Lawson,24,PG,DEN,true,61,2124,999,374,767,178,216,401,227,82,6,149,94
Courtney Lee,26,SG,HOU,true,58,1757,660,251,580,71,86,88,159,68,22,64,106
David Lee,28,PF,GSW,true,57,2121,1147,464,922,219,280,162,545,54,22,149,179
Malcolm Lee,21,SG,MIN,true,19,243,62,23,59,14,17,31,26,8,4,17,22
Kawhi Leonard,20,SF,SAS,true,64,1534,507,199,404,68,88,70,327,85,24,44,88
Travis Leslie,21,SG,LAC,true,10,45,14,5,14,4,9,5,9,2,2,2,4
Jon Leuer,22,PF,MIL,true,46,555,218,97,191,21,28,25,120,14,17,18,67
Rashard Lewis,32,SF,WAS,true,28,729,217,85,221,31,37,27,109,23,10,32,49
DeAndre Liggins,23,SF,ORL,true,17,115,33,12,25,9,19,5,15,6,0,10,6
Jeremy Lin,23,PG,NYK,true,35,940,512,171,383,146,183,216,107,55,9,126,78
Shaun Livingston,26,SG,MIL,true,58,1092,318,127,271,62,79,122,123,27,20,66,79
Brook Lopez,23,C,NJN,true,5,136,96,38,77,20,32,6,18,1,4,6,8
