player,age,position,team,played_whole_season,games_played,minutes_played,total_points,field_goals,field_goals_attempted,free_throws,free_throws_attempted,assists,rebounds,steals,blocks,turnovers,personal_fouls
Jeff Adrien,25,PF,HOU,true,8,63,21,7,16,7,12,1,22,0,2,2,13
Arron Afflalo,26,SG,DEN,true,62,2086,943,329,699,197,247,149,197,36,13,85,134
Blake Ahearn,27,PG,UTA,true,4,30,10,4,14,0,0,1,2,0,0,5,4
Solomon Alabi,23,C,TOR,true,14,122,33,13,36,7,8,3,47,2,9,5,11
Cole Aldrich,23,C,OKC,true,26,173,57,22,42,13,14,3,48,8,16,9,22
LaMarcus Aldridge,26,PF,POR,true,55,1994,1191,483,943,223,274,134,442,51,45,111,153
Lavoy Allen,22,PF,PHI,true,41,624,169,79,167,11,14,34,171,13,18,20,73
Ray Allen,36,SG,BOS,true,46,1565,655,226,493,97,106,109,142,49,8,68,83
Tony Allen,30,SG,MEM,true,58,1525,568,210,448,140,175,79,233,104,33,94,142
Morris Almond,26,SG,WAS,true,4,67,14,6,17,1,3,2,8,7,0,1,6
Al-Farouq Aminu,21,SF,NOH,true,66,1477,399,150,365,86,114,66,308,59,34,91,136
Lou Amundson,29,PF,IND,true,60,753,213,89,207,35,82,14,222,27,44,45,125
Chris Andersen,33,C,DEN,true,32,486,168,59,108,50,82,6,148,19,46,17,52
Alan Anderson,29,SF,TOR,true,17,461,163,55,142,29,34,26,34,5,3,25,35
James Anderson,22,SG,SAS,true,51,603,190,66,174,39,52,41,79,8,2,30,35
Ryan Anderson,23,PF,ORL,true,61,1964,980,332,757,150,171,54,471,50,26,57,146
Carmelo Anthony,27,SF,NYK,true,55,1876,1245,441,1025,295,367,200,344,62,24,144,156
Joel Anthony,29,C,MIA,true,64,1349,219,85,152,49,71,9,250,36,84,45,126
Gilbert Arenas,30,PG,MEM,true,17,211,72,26,64,7,10,18,18,11,1,12,35
Trevor Ariza,26,SF,NOH,true,41,1350,444,168,403,79,102,135,215,69,25,76,73
Omer Asik,25,C,CHI,true,66,971,205,79,156,47,103,32,350,30,68,68,121
D.J. Augustin,24,PG,CHA,true,48,1408,532,183,487,105,120,307,109,36,1,110,65
Gustavo Ayon,26,PF,NOH,true,54,1088,319,140,261,39,63,74,265,53,46,46,118
Jeff Ayres,24,C,IND,true,20,106,34,15,36,4,7,4,33,3,2,2,16
Kelenna Azubuike,28,SG,DAL,true,3,18,7,3,8,0,0,0,0,1,0,4,1
Luke Babbitt,22,SF,POR,true,40,537,202,71,173,17,20,16,95,10,4,27,46
Renaldo Balkman,27,SF,NYK,true,14,115,42,16,32,8,11,5,26,4,3,6,14
Leandro Barbosa,29,SG,TOR,false,42,946,512,198,454,76,91,63,79,36,7,68,101
Leandro Barbosa,29,SG,IND,false,22,436,196,73,183,25,33,33,49,20,0,26,34
Jose Barea,27,PG,MIN,true,41,1032,463,167,418,76,98,232,114,21,0,103,61
Andrea Bargnani,26,C,TOR,true,31,1032,603,209,484,151,173,61,172,18,15,69,52
Matt Barnes,31,SF,LAL,true,63,1440,491,175,387,95,128,126,344,35,48,73,152
Earl Barron,30,C,GSW,true,2,9,4,2,4,0,0,0,1,0,0,0,5
Brandon Bass,26,PF,BOS,true,59,1868,738,303,632,132,163,55,365,34,54,65,135
Tony Battie,35,C,PHI,true,27,295,42,19,51,4,4,16,67,4,6,4,26
Shane Battier,33,SF,MIA,true,65,1499,311,113,292,23,37,82,156,64,33,37,105
Nicolas Batum,23,SF,POR,true,59,1791,818,289,641,133,159,84,271,57,60,90,105
Jerryd Bayless,23,PG,TOR,true,31,705,353,117,276,75,88,118,66,24,4,53,70
Michael Beasley,23,SF,MIN,true,47,1087,541,221,497,61,95,45,207,18,19,80,83
Rodrigue Beaubois,23,PG,DAL,true,53,1151,472,188,445,58,69,152,151,56,28,70,98
Marco Belinelli,25,SG,NOH,true,66,1966,780,286,686,101,129,101,172,48,5,69,115
Raja Bell,35,SG,UTA,true,34,796,217,81,174,21,25,38,49,13,2,21,78
Keith Benson,23,C,GSW,true,3,9,0,0,1,0,0,0,3,0,0,0,0
Mike Bibby,33,PG,NYK,true,39,557,103,35,124,6,8,80,59,21,3,20,45
Andris Biedrins,25,C,GSW,true,47,739,79,39,64,1,9,16,176,23,45,14,125
Chauncey Billups,35,SG,LAC,true,20,607,299,83,228,85,95,80,50,9,3,38,40
Bismack Biyombo,19,C,CHA,true,63,1455,327,129,278,69,143,27,368,20,115,71,145
DeJuan Blair,22,PF,SAS,true,64,1363,611,269,504,73,119,78,351,59,12,92,168
Steve Blake,31,PG,LAL,true,53,1237,276,101,268,21,27,175,85,39,2,72,75
Andray Blatche,25,PF,WAS,true,26,626,221,93,245,33,49,28,150,20,17,37,54
Eric Bledsoe,22,PG,LAC,true,40,464,132,49,126,28,44,66,65,31,14,47,58
Keith Bogans,31,SF,NJN,true,5,94,21,8,21,2,5,3,11,2,0,3,15
Andrew Bogut,27,C,MIL,true,12,364,136,61,136,14,23,31,100,12,24,24,36
Matt Bonner,31,PF,SAS,true,65,1326,429,154,350,16,21,61,214,15,21,14,68
Trevor Booker,24,PF,WAS,true,50,1261,419,181,341,56,93,40,325,48,43,58,138
Carlos Boozer,30,PF,CHI,true,66,1948,991,448,842,95,137,125,564,63,24,115,168
Chris Bosh,27,PF,MIA,true,57,2007,1025,393,807,229,279,103,452,51,45,117,128
Earl Boykins,35,PG,HOU,true,8,111,39,12,36,13,15,17,11,1,0,7,5
Craig Brackins,24,PF,PHI,true,14,88,22,9,33,1,2,8,15,0,1,4,6
Avery Bradley,21,PG,BOS,true,64,1368,484,200,402,62,78,87,115,43,12,75,109
Elton Brand,32,C,PHI,true,60,1732,659,287,581,85,116,97,429,58,97,65,176
Corey Brewer,25,SF,DEN,true,59,1287,525,201,463,90,130,88,150,72,17,56,113
Ronnie Brewer,26,SG,CHI,true,66,1635,455,190,445,56,100,137,231,72,21,59,64
Jon Brockman,24,PF,MIL,true,35,239,37,15,45,7,15,9,75,4,1,10,33
MarShon Brooks,23,SG,NJN,true,56,1648,708,274,640,113,148,131,200,52,15,118,116
Derrick Brown,24,SF,CHA,true,65,1443,524,212,409,94,141,67,236,48,12,55,96
Kwame Brown,29,C,GSW,true,9,187,57,21,40,15,34,4,57,8,0,14,21
Shannon Brown,26,SG,PHO,true,59,1400,650,251,598,80,99,69,157,44,15,64,66
Kobe Bryant,33,SG,LAL,true,58,2232,1616,574,1336,381,451,264,313,69,18,204,105
Chase Budinger,23,SF,HOU,true,58,1298,558,208,471,54,70,74,217,29,7,55,65
Alec Burks,20,SG,UTA,true,59,939,425,153,357,104,143,55,132,27,5,51,84
Caron Butler,31,SF,LAC,true,63,1871,753,287,705,87,107,78,230,52,9,77,123
Jimmy Butler,22,SG,CHI,true,42,359,109,32,79,43,56,14,56,11,5,14,20
Rasual Butler,32,SF,TOR,true,34,453,110,41,133,7,12,19,66,7,5,15,39
Derrick Byars,27,PF,SAS,true,2,37,10,3,11,4,4,1,11,2,0,0,2
Andrew Bynum,24,C,LAL,true,60,2112,1123,444,796,234,338,85,709,27,116,152,104
Will Bynum,29,PG,DET,true,36,514,204,74,194,49,64,66,56,23,3,54,61
Jose Calderon,30,PG,TOR,true,53,1799,555,218,477,60,68,468,160,47,3,104,94
Marcus Camby,37,C,POR,false,40,894,152,67,161,18,38,75,354,33,56,47,88
Marcus Camby,37,C,HOU,false,19,458,135,61,126,11,26,32,176,17,29,10,38
Brian Cardinal,34,SF,DAL,true,44,277,43,14,55,5,6,16,34,8,2,8,38
