player,team,age,position,games_played,minutes_played,total_points,field_goals,field_goals_attempted,free_throws,free_throws_attempted,assists,rebounds,steals,blocks,turnovers,personal_fouls
Chris Duhon,LAL,30,PG,46,820,133,47,123,6,13,133,68,20,1,40,56
Tim Duncan,SAS,36,C,69,2078,1227,490,976,245,300,184,686,50,183,147,117
Mike Dunleavy,MIL,32,SF,75,1943,785,276,624,105,128,145,291,39,35,90,135
Kevin Durant,OKC,24,SF,81,3119,2280,731,1433,679,750,374,640,116,105,280,143
Devin Ebanks,LAL,23,SF,19,197,65,24,73,11,14,10,41,3,1,11,23
Wayne Ellington,TOT,25,SG,78,1661,614,226,529,68,75,104,166,45,3,57,81
Wayne Ellington,MEM,25,SG,40,676,218,81,199,15,16,42,52,16,1,24,38
Wayne Ellington,CLE,25,SG,38,985,396,145,330,53,59,62,114,29,2,33,43
Monta Ellis,MIL,27,SG,82,3076,1577,597,1436,289,374,496,316,169,36,254,164
Kim English,DET,24,SG,41,407,119,42,112,21,29,26,37,16,3,19,46
Jeremy Evans,UTA,25,PF,37,215,75,27,44,21,33,11,58,8,13,8,30
Reggie Evans,BRK,32,PF,80,1967,363,125,261,113,222,43,888,74,13,111,199
Tyreke Evans,SAC,23,SG,65,2016,987,366,765,210,271,229,287,90,27,128,133
Festus Ezeli,GSW,23,C,78,1120,191,74,169,43,81,22,313,23,74,63,157
Kenneth Faried,DEN,23,PF,80,2248,923,380,689,163,266,77,734,81,83,113,234
Derrick Favors,UTA,21,PF,77,1787,727,274,568,179,260,75,546,67,130,129,247
Raymond Felton,NYK,28,PG,68,2313,948,377,882,101,128,372,194,94,14,155,130
Landry Fields,TOR,24,SF,51,1037,240,102,223,34,53,60,208,32,8,42,63
Derek Fisher,TOT,38,SG-PG,33,575,175,55,161,35,38,47,37,19,3,30,55
Derek Fisher,DAL,38,PG,9,229,77,23,65,21,23,31,15,5,2,18,24
Derek Fisher,OKC,38,SG,24,346,98,32,96,14,15,16,22,14,1,12,31
Evan Fournier,DEN,20,SG,38,428,202,75,152,30,39,44,35,19,1,32,65
Randy Foye,UTA,29,SG,82,2249,882,293,738,118,144,167,127,66,27,92,190
Jimmer Fredette,SAC,23,SG,69,967,494,172,409,85,99,92,71,31,3,68,64
Joel Freeland,POR,25,PF,51,477,134,58,142,18,27,13,119,13,11,19,67
Danilo Gallinari,DEN,24,SF,71,2309,1149,364,871,286,348,176,367,64,36,111,130
Francisco Garcia,TOT,31,SG-SF,58,1029,321,118,300,18,21,63,91,46,38,32,88
Francisco Garcia,SAC,31,SG,40,710,206,77,205,12,14,43,68,32,31,20,66
Francisco Garcia,HOU,31,SF,18,319,115,41,95,6,7,20,23,14,7,12,22
Kevin Garnett,BOS,36,C,68,2022,1004,422,850,158,201,159,530,78,62,110,154
Diante Garrett,PHO,24,PG,19,149,40,16,49,5,10,31,15,10,0,16,5
Marc Gasol,MEM,28,C,80,2796,1127,429,869,268,316,318,622,80,139,157,255
Pau Gasol,LAL,32,PF,49,1655,673,270,579,125,178,200,421,24,61,104,93
Rudy Gay,TOT,26,SF,75,2687,1366,521,1253,240,295,202,461,113,53,198,182
Rudy Gay,MEM,26,SF,42,1541,723,281,688,121,156,108,249,56,31,104,87
Rudy Gay,TOR,26,SF,33,1146,643,240,565,119,139,94,212,57,22,94,95
Alonzo Gee,CLE,25,SF,82,2541,842,305,744,163,205,133,320,107,29,132,199
Mickael Gelabale,MIN,29,SF,36,644,181,72,139,21,24,26,99,16,4,16,47
Paul George,IND,22,SF,79,2972,1377,493,1176,221,274,327,603,143,51,233,227
Daniel Gibson,CLE,26,PG,46,919,250,84,247,26,37,82,60,30,4,31,89
Taj Gibson,CHI,27,PF,65,1459,517,214,441,89,131,61,345,27,90,76,166
Manu Ginobili,SAS,35,SG,60,1393,705,229,539,164,206,274,201,80,13,132,114
Drew Gooden,MIL,31,C,16,151,52,20,61,11,16,6,31,5,6,9,21
Ben Gordon,CHA,29,SG,75,1560,840,310,760,107,127,141,130,35,16,136,134
Eric Gordon,NOH,24,SG,42,1264,713,235,584,187,222,137,77,45,8,117,75
Marcin Gortat,PHO,28,C,61,1876,680,295,566,90,138,75,516,40,98,99,127
Andrew Goudelock,LAL,24,SG,1,6,0,0,2,0,0,0,1,0,0,0,0
Danny Granger,IND,29,SF,5,74,27,10,35,5,8,3,9,2,1,4,6
Aaron Gray,TOR,28,C,42,513,119,48,90,23,44,33,133,7,5,36,85
Danny Green,SAS,25,SG,80,2201,838,297,663,67,79,141,244,92,54,94,124
Draymond Green,GSW,22,SF,79,1061,227,84,257,45,55,53,260,42,25,51,159
Gerald Green,IND,27,SF,60,1080,421,155,424,52,65,50,141,19,23,53,64
Jeff Green,BOS,26,PF,81,2252,1036,376,806,214,265,128,318,56,68,132,175
Willie Green,LAC,31,SG,72,1188,450,178,386,23,32,55,97,29,12,31,96
Blake Griffin,LAC,23,PF,80,2598,1440,577,1072,281,426,299,662,97,50,185,231
Hamed Haddadi,TOT,27,C,30,322,84,35,82,14,27,12,111,6,27,31,60
Hamed Haddadi,MEM,27,C,13,87,15,7,21,1,2,4,24,1,6,4,15
Hamed Haddadi,PHO,27,C,17,235,69,28,61,13,25,8,87,5,21,27,45
Jordan Hamilton,DEN,22,SF,40,397,208,84,201,13,26,23,95,15,8,19,24
Richard Hamilton,CHI,34,SG,50,1088,490,204,475,66,77,119,83,24,5,84,93
Ben Hansbrough,IND,25,PG,28,200,57,15,45,21,27,21,18,7,2,18,23
Tyler Hansbrough,IND,27,PF,81,1366,568,176,407,216,300,36,373,29,18,78,152
James Harden,HOU,23,SG,78,2985,2023,585,1337,674,792,455,379,142,38,295,178
Maurice Harkless,ORL,19,SF,76,1974,625,260,564,73,128,50,335,88,62,69,144
Josh Harrellson,MIA,23,C,6,31,10,4,9,1,2,0,7,1,1,3,4
Al Harrington,ORL,32,C,10,119,51,20,57,3,4,10,27,4,1,7,18
Devin Harris,ATL,29,SG,58,1421,577,194,443,112,154,197,116,64,13,88,103
Terrel Harris,TOT,25,SG,20,137,15,4,27,7,10,9,26,2,3,17,17
Terrel Harris,MIA,25,SG,7,29,10,2,8,6,8,2,9,0,0,4,3
Terrel Harris,NOH,25,SG,13,108,5,2,19,1,2,7,17,2,3,13,14
Tobias Harris,TOT,20,SF-PF,55,1299,603,233,512,103,137,69,287,32,44,66,120
Tobias Harris,MIL,20,SF,28,325,136,53,115,23,26,13,57,8,7,18,31
Tobias Harris,ORL,20,PF,27,974,467,180,397,80,111,56,230,24,37,48,89
Udonis Haslem,MIA,32,PF,75,1414,290,129,251,32,45,38,404,30,15,45,173
Spencer Hawes,PHI,24,C,82,2233,905,376,811,122,157,183,590,24,113,131,233
Chuck Hayes,SAC,29,C,74,1209,198,84,190,30,48,112,299,31,18,44,114
Gordon Hayward,UTA,22,SF,72,2104,1017,336,773,243,294,213,225,58,38,120,125
Lazar Hayward,MIN,26,SF,4,31,10,2,10,6,6,3,4,2,0,0,3
Brendan Haywood,CHA,33,C,61,1162,216,93,216,30,66,29,290,16,49,50,125
Gerald Henderson,CHA,25,SG,68,2133,1055,382,855,258,313,177,250,68,34,108,149
Xavier Henry,NOH,21,SF,50,625,194,66,161,58,92,13,90,16,5,31,72
John Henson,MIL,22,PF,63,827,380,162,336,56,105,31,297,19,42,47,83
Roy Hibbert,IND,26,C,79,2269,937,385,859,166,224,113,656,39,206,162,279
J.J. Hickson,POR,24,C,80,2323,1018,418,744,182,268,88,828,48,51,145,160
Cory Higgins,CHA,23,SG,6,32,14,6,19,1,2,5,3,3,0,0,5
Nene Hilario,WAS,30,PF,61,1659,766,285,594,196,269,177,407,55,37,139,171
George Hill,IND,26,PG,76,2620,1076,386,871,174,213,355,284,81,26,116,134
Grant Hill,LAC,40,SF,29,437,93,38,98,14,24,26,49,11,7,25,39
Jordan Hill,LAL,25,PF,29,458,194,77,155,40,61,13,166,8,19,26,55
Kirk Hinrich,CHI,32,PG,60,1764,459,159,422,70,98,314,158,63,25,99,192
Jrue Holiday,PHI,22,PG,78,2926,1383,555,1288,182,242,625,329,123,32,292,170
Justin Holiday,PHI,23,SG,9,142,42,16,48,6,8,15,14,3,6,9,7
Ryan Hollins,LAC,28,C,60,663,206,70,114,66,88,11,139,6,34,44,133
Tyler Honeycutt,SAC,22,SF,9,32,8,3,11,2,2,2,10,0,1,5,2
Al Horford,ATL,26,C,74,2756,1289,576,1060,134,208,240,757,78,78,147,163
Dwight Howard,LAL,27,C,76,2722,1296,470,813,355,721,108,945,84,186,225,291
Josh Howard,MIN,32,SF,11,207,74,31,77,7,12,4,36,10,3,10,18
Juwan Howard,MIA,39,PF,7,51,21,10,19,1,1,6,8,0,0,4,9
Kris Humphries,BRK,27,PF,65,1191,375,139,310,97,123,32,365,16,33,57,127
Serge Ibaka,OKC,23,PF,80,2486,1055,446,778,143,191,43,617,28,242,125,213
Andre Iguodala,DEN,29,SG,80,2779,1038,396,879,155,270,433,423,139,52,206,127
Ersan Ilyasova,MIL,25,PF,73,2012,962,371,803,125,157,117,520,68,36,75,185
Kyrie Irving,CLE,20,PG,59,2048,1325,484,1070,248,290,350,216,89,21,191,146
Royal Ivey,PHI,31,SG,53,698,170,62,144,9,16,32,57,23,3,20,73
Jarrett Jack,GSW,29,SG,79,2349,1023,387,857,167,198,439,243,60,11,157,134
Reggie Jackson,OKC,22,PG,70,993,374,149,325,52,62,122,166,29,13,53,84
Stephen Jackson,SAS,34,SF,55,1075,341,123,330,49,70,80,155,37,14,77,89
Bernard James,DAL,27,C,46,457,131,53,103,25,41,6,131,12,38,18,64
Damion James,BRK,25,SF,2,0,0,0,0,0,0,0,1,0,0,0,0
LeBron James,MIA,28,PF,76,2877,2036,765,1354,403,535,551,610,129,67,226,110
Mike James,DAL,37,PG,45,862,273,101,271,23,29,139,72,26,3,55,95
Antawn Jamison,LAL,36,PF,76,1636,712,267,575,94,136,50,362,30,22,53,124
Al Jefferson,UTA,28,C,78,2578,1391,611,1236,167,217,164,720,80,89,105,170
Richard Jefferson,GSW,32,SF,56,568,176,62,136,38,53,31,84,14,7,23,45
Jared Jeffries,POR,31,PF,38,350,44,16,54,12,23,14,60,6,6,17,58
Charles Jenkins,TOT,23,SG-PG,59,441,111,49,121,12,22,44,32,15,2,21,22
Charles Jenkins,GSW,23,SG,47,291,81,35,83,10,18,28,21,9,1,19,18
Charles Jenkins,PHI,23,PG,12,150,30,14,38,2,4,16,11,6,1,2,4
John Jenkins,ATL,21,SG,61,902,374,131,294,59,70,56,94,12,10,40,37
Brandon Jennings,MIL,23,PG,80,2897,1397,497,1247,230,281,521,246,125,10,203,155
Jonas Jerebko,DET,25,PF,49,892,377,142,316,68,88,43,185,38,8,42,90
Amir Johnson,TOR,25,PF,81,2325,813,336,606,136,187,122,611,81,110,117,301
Chris Johnson,MIN,27,C,30,284,117,48,75,21,34,8,60,7,28,13,49
Chris Johnson,MEM,22,SF,8,102,29,11,25,1,2,2,11,4,0,3,5
Ivan Johnson,ATL,28,PF,69,1035,452,185,356,81,131,46,266,56,14,71,131
James Johnson,SAC,25,SF,54,878,276,117,283,40,67,58,145,41,50,68,99
Joe Johnson,BRK,31,SG,72,2642,1170,445,1052,132,161,253,218,49,14,123,99
Orlando Johnson,IND,23,SG,51,619,203,72,180,23,32,47,110,11,9,29,51
Wesley Johnson,PHO,25,SF,50,953,399,161,396,27,35,34,123,22,18,48,56
Darius Johnson-Odom,LAL,23,SG,4,6,0,0,4,0,0,1,4,0,0,0,0
Dahntay Jones,TOT,32,SF,78,1016,262,82,222,87,113,48,101,22,6,38,119
Dahntay Jones,DAL,32,SF,50,635,174,50,140,66,82,28,70,10,5,22,73
Dahntay Jones,ATL,32,SF,28,381,88,32,82,21,31,20,31,12,1,16,46
DeQuan Jones,ORL,22,SF,63,803,233,95,218,34,51,16,105,19,22,30,55
Dominique Jones,DAL,24,PG,29,338,116,40,109,35,53,83,45,14,2,38,29
James Jones,MIA,32,SF,38,221,60,21,61,2,4,13,22,2,6,3,16
Kevin Jones,CLE,23,PF,32,334,95,43,107,9,15,10,78,9,5,8,25
Perry Jones,OKC,21,SF,38,280,88,39,99,10,15,10,62,5,6,15,23
Solomon Jones,NYK,28,PF,2,26,0,0,1,0,0,0,3,0,1,3,3
Terrence Jones,HOU,21,PF,19,276,104,43,94,13,17,15,65,12,19,13,21
DeAndre Jordan,LAC,24,C,82,2010,724,314,488,96,249,28,594,48,112,100,192
Cory Joseph,SAS,21,PG,28,388,126,51,110,18,21,53,52,15,4,21,25
Kris Joseph,TOT,24,SF,10,54,9,2,14,5,8,1,7,3,0,2,3
Kris Joseph,BOS,24,SF,6,24,7,2,11,3,4,1,5,0,0,2,2
Kris Joseph,BRK,24,SF,4,30,2,0,3,2,4,0,2,3,0,0,1
Chris Kaman,DAL,30,C,66,1363,693,313,617,67,85,51,372,29,52,103,141
Enes Kanter,UTA,20,C,70,1078,506,206,379,93,117,31,304,28,32,101,116
Jason Kidd,NYK,39,SG,76,2043,458,152,409,40,48,249,323,125,25,76,125
Michael Kidd-Gilchrist,CHA,19,SF,78,2025,704,281,613,140,187,117,455,54,70,101,164
Andrei Kirilenko,MIN,31,SF,64,2034,791,284,560,188,250,177,362,96,62,119,82
Linas Kleiza,TOR,28,SF,20,376,148,48,144,32,38,16,52,4,2,14,45
Brandon Knight,DET,21,PG,75,2365,999,357,878,165,225,303,247,58,8,205,157
Kyle Korver,ATL,31,SF,74,2259,810,277,601,67,78,146,293,70,37,70,170
Kosta Koufos,DEN,23,C,81,1817,648,295,508,58,104,32,562,44,103,53,246
Viacheslav Kravtsov,DET,25,C,25,224,77,33,46,11,37,9,45,5,9,14,32
Doron Lamb,TOT,21,SG,47,577,154,60,163,20,34,32,46,13,0,26,52
Doron Lamb,MIL,21,SG,23,280,78,33,95,8,15,20,17,7,0,16,27
Doron Lamb,ORL,21,SG,24,297,76,27,68,12,19,12,29,6,0,10,25
Jeremy Lamb,OKC,20,SF,23,147,71,24,68,14,14,5,18,2,2,6,13
Carl Landry,GSW,29,PF,81,1876,874,325,602,223,273,65,483,35,31,115,190
Ty Lawson,DEN,25,PG,73,2513,1216,448,971,235,311,501,198,107,8,182,135
Courtney Lee,BOS,27,SG,78,1941,612,246,530,62,72,143,190,89,21,84,139
David Lee,GSW,29,PF,79,2907,1459,602,1160,255,320,279,886,67,22,207,246
Malcolm Lee,MIN,22,SG,16,289,78,29,76,12,20,20,39,12,6,10,30
Kawhi Leonard,SAS,21,SF,58,1810,689,260,526,104,126,93,346,97,32,62,99
Meyers Leonard,POR,20,C,69,1206,377,151,277,72,89,33,255,11,38,49,168
Jon Leuer,TOT,23,PF-C,28,187,56,25,52,6,13,8,37,6,0,8,21
Jon Leuer,CLE,23,C,9,91,22,10,28,2,6,5,13,2,0,5,11
Jon Leuer,MEM,23,PF,19,96,34,15,24,4,7,3,24,4,0,3,10
Rashard Lewis,MIA,33,PF,55,792,285,103,249,28,45,30,121,21,14,33,67
DeAndre Liggins,OKC,24,SG,39,290,58,21,47,9,18,15,53,18,3,14,33
Damian Lillard,POR,22,PG,82,3167,1562,553,1288,271,321,531,257,74,19,243,172
Jeremy Lin,HOU,24,PG,82,2640,1095,396,897,216,275,497,247,134,29,236,205
Shaun Livingston,TOT,27,PG,66,1455,417,166,346,85,98,215,158,48,31,76,127
Shaun Livingston,WAS,27,PG,17,320,63,24,66,15,15,38,37,11,2,17,22
Shaun Livingston,CLE,27,PG,49,1135,354,142,280,70,83,177,121,37,29,59,105
Brook Lopez,BRK,24,C,74,2253,1437,570,1094,297,392,70,512,33,154,131,152
Robin Lopez,NOH,24,C,82,2136,929,384,719,161,207,64,462,32,128,110,167
Kevin Love,MIN,24,PF,18,618,330,105,298,100,142,42,252,13,9,39,34
Kyle Lowry,TOR,26,PG,68,2020,791,250,623,190,239,435,321,94,24,157,218
John Lucas,TOR,30,PG,63,827,333,129,334,18,25,105,65,23,1,26,50
Scott Machado,HOU,22,PG,6,21,8,3,6,2,2,6,1,2,0,8,0
Shelvin Mack,TOT,22,PG-SG,31,416,143,58,126,9,16,68,40,15,0,34,39
Shelvin Mack,WAS,22,PG,7,141,37,16,40,1,2,23,16,6,0,8,10
Shelvin Mack,PHI,22,SG,4,7,2,1,2,0,0,1,0,0,0,2,1
Shelvin Mack,ATL,22,PG,20,268,104,41,84,8,14,44,24,9,0,24,28
Corey Maggette,DET,33,SF,18,257,95,27,76,36,48,19,25,6,2,17,42
Ian Mahinmi,IND,26,C,80,1322,402,149,329,104,171,27,311,39,66,92,201
Shawn Marion,DAL,34,PF,67,2010,812,355,690,79,101,163,525,75,47,103,111
Kendall Marshall,PHO,21,PG,48,702,143,56,151,8,14,143,42,22,4,57,48
Cartier Martin,WAS,28,SF,41,694,270,96,252,20,28,20,100,19,6,32,58
Kenyon Martin,NYK,35,C,18,431,129,56,93,17,40,8,95,16,17,16,64
Kevin Martin,OKC,29,SG,77,2136,1077,350,778,219,246,106,178,72,8,101,138
Roger Mason,NOH,32,SG,69,1219,369,132,305,39,43,74,132,26,11,51,104
Wesley Matthews,POR,26,SG,69,2403,1022,352,808,149,187,174,191,90,18,109,172
Jason Maxiell,DET,29,PF,72,1789,498,204,457,90,145,54,409,32,95,81,172
Eric Maynor,TOT,25,PG-SG,64,963,291,106,281,45,62,182,46,22,1,79,55
Eric Maynor,OKC,25,PG,37,391,104,36,115,17,21,73,18,10,0,31,19
Eric Maynor,POR,25,SG,27,572,187,70,166,28,41,109,28,12,1,48,36
O.J. Mayo,DAL,25,SG,82,2913,1255,461,1026,191,233,361,291,93,23,210,195
Luc Mbah a Moute,MIL,26,SF,58,1326,387,151,377,72,126,55,256,42,14,70,82
JaVale McGee,DEN,25,C,79,1433,717,303,527,110,186,24,381,30,157,90,184
Dominic McGuire,TOT,27,SF,26,387,51,24,56,3,10,20,78,13,11,12,39
Dominic McGuire,TOR,27,SF,15,230,32,15,32,2,6,10,48,5,8,7,26
Dominic McGuire,NOH,27,SF,9,145,19,9,21,1,2,9,28,8,3,5,13
Dominic McGuire,IND,27,SF,2,12,0,0,3,0,2,1,2,0,0,0,0
Josh McRoberts,TOT,25,PF,67,1487,401,156,343,65,85,141,325,32,27,66,131
Josh McRoberts,ORL,25,PF,41,685,159,60,153,22,30,70,137,10,12,28,65
Josh McRoberts,CHA,25,PF,26,802,242,96,190,43,55,71,188,22,15,38,66
Jodie Meeks,LAL,25,SG,78,1663,618,205,530,86,96,69,171,58,5,52,103
Fab Melo,BOS,22,C,6,36,7,3,6,1,4,0,3,2,2,1,7
Khris Middleton,DET,21,SG,27,475,165,62,141,27,32,28,50,15,4,11,53
C.J. Miles,CLE,25,SF,65,1364,729,255,614,93,107,63,174,49,17,69,138
Darko Milicic,BOS,27,C,1,5,0,0,1,0,0,0,1,0,0,2,1
Andre Miller,DEN,36,PG,82,2151,786,303,632,163,194,484,238,73,11,172,159
Darius Miller,NOH,22,SF,52,694,118,44,108,8,8,44,78,17,12,23,89
Mike Miller,MIA,32,SF,59,900,281,100,231,8,11,99,157,21,4,35,63
Quincy Miller,DEN,20,PF,7,26,9,4,12,1,2,3,2,1,0,1,3
Patrick Mills,SAS,24,PG,58,656,294,113,241,16,19,62,50,26,4,39,55
Paul Millsap,UTA,27,PF,78,2375,1135,429,875,264,356,201,554,102,80,138,232
Nazr Mohammed,CHI,35,C,63,693,166,66,180,34,47,26,195,21,32,24,97
Greg Monroe,DET,22,C,81,2687,1298,514,1058,270,392,281,777,105,55,234,190
E'Twaun Moore,ORL,23,SG,75,1682,588,237,598,47,59,206,167,51,23,105,122
Darius Morris,LAL,22,PG,48,683,194,73,188,24,37,76,57,21,2,45,58
Marcus Morris,TOT,23,PF-SF,77,1524,596,222,526,66,117,62,277,45,20,77,160
Marcus Morris,HOU,23,PF,54,1154,465,171,400,49,75,47,219,27,16,53,120
Marcus Morris,PHO,23,SF,23,370,131,51,126,17,42,15,58,18,4,24,40
Markieff Morris,PHO,23,PF,82,1837,670,266,653,93,127,108,396,77,64,104,209
Anthony Morrow,TOT,27,SG,41,383,164,64,145,20,22,13,30,13,1,8,43
Anthony Morrow,ATL,27,SG,24,301,125,47,111,16,18,9,26,12,1,4,33
Anthony Morrow,DAL,27,SG,17,82,39,17,34,4,4,4,4,1,0,4,10
Donatas Motiejunas,HOU,22,PF,44,538,250,97,213,32,51,31,93,7,10,37,73
Arnett Moultrie,PHI,22,PF,47,542,174,78,134,18,28,10,145,17,10,19,43
Timofey Mozgov,DEN,26,C,41,366,108,44,87,20,26,9,107,6,18,25,57
Byron Mullens,CHA,23,PF,53,1428,564,217,563,64,99,81,337,34,32,74,110
Kevin Murphy,UTA,22,SG,17,52,15,7,28,0,0,2,4,1,0,3,4
Troy Murphy,DAL,32,PF,14,256,65,22,61,10,11,7,49,10,6,7,29
Steve Nash,LAL,38,PG,50,1627,636,236,475,107,116,333,142,30,5,126,70
Gary Neal,SAS,28,SG,68,1484,645,246,597,64,74,129,143,30,2,69,93
Jameer Nelson,ORL,30,PG,56,1977,822,306,780,89,102,413,209,71,6,154,161
Andrew Nicholson,ORL,23,PF,75,1249,587,256,486,75,94,44,258,24,32,79,133
Joakim Noah,CHI,27,C,66,2426,784,303,630,178,237,262,733,78,141,176,185
Steve Novak,NYK,29,SF,81,1641,535,178,430,30,33,35,152,28,8,12,97
Dirk Nowitzki,DAL,34,PF,53,1661,917,343,728,166,193,132,363,38,37,70,93
Jermaine O'Neal,PHO,34,C,55,1029,454,179,371,96,115,42,293,19,78,73,126
Kyle O'Quinn,ORL,22,C,57,638,232,101,197,30,45,52,209,11,26,37,107
Lamar Odom,LAC,33,PF,82,1616,330,146,366,20,42,142,480,69,58,86,214
Tim Ohlbrecht,HOU,24,C,3,12,3,1,3,1,1,1,1,1,0,4,1
Emeka Okafor,WAS,30,C,79,2052,765,328,687,109,191,93,692,45,77,107,145
Daniel Orton,OKC,22,C,13,104,33,12,26,9,17,4,26,4,3,4,13
Travis Outlaw,SAC,28,SF,38,444,200,74,177,38,52,21,61,11,8,19,35
Zaza Pachulia,ATL,28,C,52,1134,306,114,241,78,103,79,336,35,12,70,128
Jannero Pargo,TOT,33,PG,32,507,207,78,212,12,13,67,35,18,3,41,42
Jannero Pargo,WAS,33,PG,7,102,21,8,32,2,2,14,6,0,1,8,8
Jannero Pargo,ATL,33,PG,7,113,35,13,38,2,2,19,7,3,0,5,8
Jannero Pargo,CHA,33,PG,18,292,151,57,142,8,9,34,22,15,2,28,26
Jeremy Pargo,TOT,26,PG-SG,39,655,265,99,250,42,62,92,49,13,2,50,46
Jeremy Pargo,CLE,26,PG,25,447,196,75,187,28,41,64,32,12,2,37,32
Jeremy Pargo,PHI,26,SG,14,208,69,24,63,14,21,28,17,1,0,13,14
Tony Parker,SAS,30,PG,66,2174,1341,519,995,279,330,499,198,54,6,170,92
Chandler Parsons,HOU,24,SF,76,2758,1177,456,939,113,155,269,404,75,32,147,148
Patrick Patterson,TOT,23,PF,71,1775,737,319,623,48,63,81,337,31,40,61,138
Patrick Patterson,HOU,23,PF,47,1219,544,236,455,37,49,51,221,18,27,42,90
Patrick Patterson,SAC,23,PF,24,556,193,83,168,11,14,30,116,13,13,19,48
Chris Paul,LAC,27,PG,70,2335,1186,412,856,286,323,678,262,169,10,159,143
Sasha Pavlovic,POR,29,SG,39,528,103,42,119,1,6,32,56,24,5,14,59
Nikola Pekovic,MIN,27,C,62,1959,1011,385,741,241,324,53,545,43,50,101,143
Kendrick Perkins,OKC,28,C,78,1954,330,143,313,44,72,111,466,43,83,109,227
Johan Petro,ATL,27,C,31,352,108,48,110,11,12,16,112,10,9,24,48
Paul Pierce,BOS,35,SF,77,2575,1430,476,1092,333,423,370,487,84,30,214,210
Mickael Pietrus,TOR,30,SF,19,386,100,34,98,12,18,9,36,12,6,16,33
Dexter Pittman,TOT,24,C,11,32,8,4,11,0,3,0,12,0,0,3,8
Dexter Pittman,MIA,24,C,4,12,6,3,5,0,0,0,7,0,0,2,4
Dexter Pittman,MEM,24,C,7,20,2,1,6,0,3,0,5,0,0,1,4
Miles Plumlee,IND,24,C,14,55,13,5,21,3,4,2,22,0,3,3,5
Quincy Pondexter,MEM,24,SF,59,1243,375,128,299,59,75,61,132,35,6,42,95
A.J. Price,WAS,26,PG,57,1278,441,161,413,49,62,205,114,33,3,64,73
Ronnie Price,POR,29,PG,39,510,105,39,120,17,24,73,44,26,3,34,61
Pablo Prigioni,NYK,35,PG,78,1263,275,100,220,22,25,236,143,69,2,86,127
Tayshaun Prince,TOT,32,SF,82,2631,852,359,820,96,130,196,364,48,25,89,86
Tayshaun Prince,DET,32,SF,45,1457,527,215,484,74,93,111,209,21,13,54,45
Tayshaun Prince,MEM,32,SF,37,1174,325,144,336,22,37,85,155,27,12,35,41
Joel Przybilla,MIL,33,C,12,68,2,1,4,0,2,4,21,1,2,4,10
Chris Quinn,CLE,29,SG,7,78,10,4,16,2,2,9,2,3,0,6,4
Vladimir Radmanovic,CHI,32,PF,25,144,33,13,43,2,3,8,28,8,4,7,29
Anthony Randolph,DEN,23,PF,39,329,143,56,114,31,45,12,95,19,21,37,41
Shavlik Randolph,BOS,29,PF,16,198,67,28,48,11,27,4,70,8,7,10,38
Zach Randolph,MEM,31,PF,76,2607,1169,471,1024,225,300,108,854,61,31,150,180
J.J. Redick,TOT,28,SG,78,2379,1100,382,880,171,190,296,171,38,9,138,117
