player,age,position,team,played_whole_season,games_played,minutes_played,total_points,field_goals,field_goals_attempted,free_throws,free_throws_attempted,assists,rebounds,steals,blocks,turnovers,personal_fouls
Quincy Acy,24,PF,NYK,true,68,1287,398,152,331,76,97,68,301,27,22,60,147
Jordan Adams,20,SG,MEM,true,30,248,94,35,86,14,23,16,28,16,7,14,24
Steven Adams,21,C,OKC,true,70,1771,537,217,399,103,205,66,523,38,86,99,222
Jeff Adrien,28,PF,MIN,true,17,215,60,19,44,22,38,15,77,4,9,9,30
Arron Afflalo,29,SG,DEN,false,53,1750,771,281,657,127,151,101,180,32,5,83,108
Arron Afflalo,29,SG,POR,false,25,752,264,94,227,40,47,28,67,9,2,33,59
Alexis Ajinca,26,C,NOP,true,68,957,443,181,329,81,99,47,315,21,51,69,151
Furkan Aldemir,23,PF,PHI,true,41,540,93,40,78,13,27,28,176,17,16,17,96
Cole Aldrich,26,C,NYK,true,61,976,338,144,301,50,64,75,338,37,65,59,122
LaMarcus Aldridge,29,PF,POR,true,71,2512,1661,659,1415,306,362,124,726,48,68,122,125
Lavoy Allen,25,PF,IND,true,63,1070,315,141,299,33,47,73,323,15,42,40,102
Tony Allen,33,SG,MEM,true,63,1648,539,225,455,79,126,86,280,129,30,86,166
Al-Farouq Aminu,24,SF,DAL,true,74,1366,412,147,357,84,118,59,342,70,62,55,137
Lou Amundson,32,PF,CLE,false,12,79,11,4,12,3,5,5,20,1,0,5,11
Lou Amundson,32,PF,NYK,false,41,858,248,105,243,38,82,65,248,21,52,57,115
Chris Andersen,36,C,MIA,true,60,1132,320,120,207,76,114,43,299,26,61,40,88
Alan Anderson,32,SG,BRK,true,74,1744,545,195,440,82,101,83,204,56,5,60,148
Kyle Anderson,21,SF,SAS,true,33,358,74,31,89,9,14,28,72,15,7,10,28
Ryan Anderson,26,PF,NOP,true,61,1675,833,291,729,129,151,55,295,33,20,62,113
Giannis Antetokounmpo,20,SG,MIL,true,81,2541,1030,383,780,257,347,207,542,73,85,173,254
Carmelo Anthony,30,SF,NYK,true,40,1428,966,358,806,189,237,122,264,40,17,89,87
Joel Anthony,32,C,DET,true,49,406,87,36,62,15,22,5,93,12,49,12,55
Pero Antic,32,PF,ATL,true,63,1037,356,108,296,88,123,49,189,18,14,49,132
Trevor Ariza,29,SF,HOU,true,82,2930,1048,366,910,122,143,209,459,152,17,141,186
Darrell Arthur,26,PF,DEN,true,58,988,382,155,384,46,59,57,171,48,26,47,146
Omer Asik,28,C,NOP,true,76,1982,557,213,412,131,225,72,748,29,54,95,144
D.J. Augustin,27,PG,DET,false,54,1287,574,189,461,147,169,265,100,33,2,110,61
D.J. Augustin,27,PG,OKC,false,28,677,203,69,186,31,36,88,61,16,1,35,32
Jeff Ayres,27,PF,SAS,true,51,383,137,55,95,27,36,14,117,8,8,26,60
Luke Babbitt,25,SF,NOP,true,63,830,256,92,192,13,19,24,111,17,11,26,63
Cameron Bairstow,24,PF,CHI,true,18,64,10,3,14,4,5,1,8,2,1,3,8
Leandro Barbosa,32,SG,GSW,true,66,982,467,183,386,58,74,99,91,41,8,44,87
J.J. Barea,30,PG,DAL,true,77,1362,580,225,536,76,94,263,134,33,1,70,104
Andrea Bargnani,29,C,NYK,true,29,785,430,164,361,87,107,46,127,2,27,42,53
Harrison Barnes,22,SF,GSW,true,82,2318,827,316,656,108,150,116,453,61,19,71,146
Matt Barnes,34,SF,LAC,true,76,2271,764,277,624,74,95,114,302,67,50,87,240
Earl Barron,33,C,PHO,true,16,143,32,12,39,6,12,5,28,4,2,5,26
Will Barton,24,SG,POR,false,30,300,90,38,100,10,15,27,34,14,4,17,20
Will Barton,24,SG,DEN,false,28,683,307,112,253,64,79,54,128,34,15,44,50
Brandon Bass,29,PF,BOS,true,82,1929,866,344,683,169,214,104,398,41,32,83,140
Nicolas Batum,26,SF,POR,true,71,2380,664,240,600,84,98,341,416,78,40,132,106
Jerryd Bayless,26,PG,MIL,true,77,1717,598,220,516,121,137,233,211,59,12,133,163
Aron Baynes,28,C,SAS,true,70,1122,461,185,327,90,104,35,318,16,22,65,162
Kent Bazemore,25,SG,ATL,true,75,1324,390,141,331,60,100,78,222,52,33,73,127
Bradley Beal,21,SG,WAS,true,63,2107,962,363,851,130,166,194,241,76,18,123,136
Michael Beasley,26,SF,MIA,true,24,505,212,92,212,20,26,32,89,15,13,37,66
Marco Belinelli,28,SG,SAS,true,62,1388,568,199,470,84,99,94,157,31,3,61,85
Jerrelle Benimon,23,PF,UTA,true,2,3,0,0,0,0,0,0,3,0,0,1,0
Anthony Bennett,21,PF,MIN,true,57,894,298,125,297,41,64,48,216,27,16,36,87
Patrick Beverley,26,PG,HOU,true,56,1727,568,204,532,45,60,192,237,59,23,83,182
Sim Bhullar,22,C,SAC,true,3,3,2,1,2,0,0,1,1,0,1,0,0
Bismack Biyombo,22,C,CHO,true,64,1243,304,101,186,102,175,16,407,18,99,52,140
Tarik Black,23,C,HOU,false,25,393,105,45,83,15,29,8,127,6,2,19,56
Tarik Black,23,C,LAL,false,38,803,274,112,190,50,89,34,241,13,22,29,102
DeJuan Blair,25,PF,WAS,true,29,180,56,26,57,4,6,3,56,7,1,13,41
Steve Blake,34,PG,POR,true,81,1529,350,122,327,29,41,288,137,41,5,104,118
Eric Bledsoe,25,PG,PHO,true,81,2800,1377,468,1046,353,441,493,423,127,45,274,189
Vander Blue,22,SG,LAL,true,2,74,22,9,30,2,5,8,9,3,0,6,4
Bojan Bogdanovic,25,SF,BRK,true,78,1854,700,261,576,87,106,68,213,34,9,78,104
Andrew Bogut,30,C,GSW,true,67,1583,422,200,355,22,42,180,543,39,113,106,188
Matt Bonner,34,PF,SAS,true,72,935,264,94,230,30,37,47,115,10,12,11,65
Trevor Booker,27,PF,UTA,true,79,1564,567,226,464,86,148,83,397,43,41,88,144
Carlos Boozer,33,PF,LAL,true,71,1692,836,371,743,94,150,95,482,41,12,92,184
Chris Bosh,30,C,MIA,true,44,1556,928,343,745,179,232,95,310,41,25,95,69
Avery Bradley,24,SG,BOS,true,77,2428,1071,434,1012,79,100,135,241,82,15,109,177
Elton Brand,35,PF,ATL,true,36,486,96,42,95,12,23,22,100,17,25,18,54
Corey Brewer,28,SF,MIN,false,24,680,251,94,225,55,78,78,94,54,4,50,62
Corey Brewer,28,SF,HOU,false,56,1407,666,249,580,113,148,95,203,60,15,81,111
Aaron Brooks,30,PG,CHI,true,82,1885,954,344,817,145,174,261,166,54,15,157,189
Jabari Brown,22,SG,LAL,true,19,568,227,70,170,64,85,40,36,12,2,32,33
Lorenzo Brown,24,PG,MIN,true,29,549,122,52,122,12,19,90,70,28,6,30,49
Markel Brown,23,SG,BRK,true,47,781,216,76,210,47,57,39,107,31,12,27,57
Shannon Brown,29,SG,MIA,true,5,89,20,7,19,3,4,3,1,4,0,4,8
Kobe Bryant,36,SG,LAL,true,35,1207,782,266,713,196,241,197,199,47,7,128,65
Chase Budinger,26,SF,MIN,true,67,1286,457,169,390,67,81,64,198,44,10,49,72
Reggie Bullock,23,SF,LAC,false,25,263,65,23,54,4,5,6,40,9,2,6,17
Reggie Bullock,23,SF,PHO,false,11,75,4,1,16,2,4,2,10,1,2,2,2
Trey Burke,22,PG,UTA,true,76,2288,973,370,1005,109,145,328,204,65,15,124,119
Alec Burks,23,SG,UTA,true,27,899,374,121,300,106,129,82,114,17,5,52,64
Caron Butler,34,SF,DET,true,78,1623,460,161,396,55,61,79,196,43,4,49,120
Jimmy Butler,25,SG,CHI,true,65,2513,1301,421,912,386,463,212,379,114,36,93,108
Rasual Butler,35,SF,WAS,true,75,1505,580,218,517,53,67,63,197,29,22,48,98
Dwight Buycks,25,PG,LAL,true,6,123,52,18,40,9,10,14,12,3,0,12,3
