Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
Ken Burkhart,31,STL,NL,21,5,4,2,1,1,0,0,0,0,,0,2,0.25,0.25,0.5,0.75,94,2,0,0,0,,,1
Ken Burkhart,31,CIN,NL,16,10,9,1,3,0,0,1,2,0,,1,1,0.333,0.4,0.667,1.067,188,6,0,0,0,,,1
Paul Burris,24,BSN,NL,2,4,4,0,2,0,0,0,0,0,,0,0,0.5,0.5,0.5,1,172,2,0,0,0,,,/2
Tommy Byrne*,28,NYY,AL,31,52,46,8,15,3,1,1,7,0,0,1,7,0.326,0.354,0.5,0.854,126,23,0,1,4,,,1
Putsy Caballero,20,PHI,NL,113,382,351,33,86,12,1,0,19,7,,24,18,0.245,0.293,0.285,0.578,59,100,9,0,5,,,54
Earl Caldwell,43,TOT,AL,33,10,8,0,1,0,0,0,1,0,0,2,4,0.125,0.3,0.125,0.425,16,1,0,0,0,,,1
Earl Caldwell,43,CHW,AL,25,7,5,0,0,0,0,0,1,0,0,2,3,0,0.286,0,0.286,-19,0,0,0,0,,,1
Earl Caldwell,43,BOS,AL,8,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,74,1,0,0,0,,,/1
Roy Campanella,26,BRO,NL,83,320,279,32,72,11,3,9,45,3,,36,45,0.258,0.345,0.416,0.761,102,116,3,1,5,,,2
Paul Campbell*,30,DET,AL,59,85,83,15,22,1,1,1,11,0,0,1,10,0.265,0.274,0.337,0.611,60,28,0,0,1,,,3
Milo Candini,30,WSH,AL,35,25,22,3,8,1,0,0,0,0,0,3,2,0.364,0.44,0.409,0.849,129,9,0,0,0,,,1
Don Carlsen,21,CHC,NL,1,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,/1
Hugh Casey,34,BRO,NL,22,8,7,0,0,0,0,0,0,0,,0,1,0,0,0,0,-100,0,0,0,1,,,1
Pete Castiglione,27,PIT,NL,4,2,2,0,0,0,0,0,0,1,,0,0,0,0,0,0,-100,0,0,0,0,,,/6
Phil Cavarretta*,31,CHC,NL,111,373,334,41,93,16,5,3,40,4,,35,29,0.278,0.349,0.383,0.732,102,128,1,1,3,,,3O79
Cliff Chambers*,26,CHC,NL,29,33,30,0,4,1,0,0,3,0,,0,3,0.133,0.133,0.167,0.3,-18,5,1,0,3,,,1
Sam Chapman,32,PHA,AL,123,506,445,58,115,18,6,13,70,6,1,55,50,0.258,0.341,0.413,0.755,99,184,18,1,5,,,*8O
Bob Chesnes#,27,PIT,NL,39,98,91,15,25,1,1,1,8,0,,7,11,0.275,0.327,0.341,0.667,79,31,3,0,0,,,1
Bob Chipman*,29,CHC,NL,34,17,16,2,4,0,0,0,2,0,,2,4,0.25,0.333,0.25,0.583,63,4,0,0,0,,,1
Mark Christman,34,WSH,AL,120,440,409,38,106,17,2,1,40,0,3,25,19,0.259,0.303,0.318,0.621,67,130,14,1,5,,,6/54
Russ Christopher,30,CLE,AL,45,10,6,1,0,0,0,0,0,0,0,2,3,0,0.25,0,0.25,-29,0,0,0,2,,,1
Allie Clark,25,CLE,AL,81,298,271,43,84,5,2,9,38,0,2,23,13,0.31,0.364,0.443,0.807,117,120,12,0,4,,,O97/53
Jim Clark,20,WSH,AL,9,12,12,1,3,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,35,3,0,0,0,,,/56
Gil Coan*,26,WSH,AL,138,564,513,56,119,13,9,7,60,23,9,41,78,0.232,0.298,0.333,0.631,70,171,5,7,4,,,*7O
Joe Coleman,25,PHA,AL,33,84,74,2,9,2,0,0,7,0,0,5,29,0.122,0.177,0.149,0.326,-13,11,2,0,6,,,1
Ray Coleman*,26,TOT,AL,85,281,239,34,56,6,7,0,23,5,3,33,22,0.234,0.327,0.318,0.645,71,76,13,0,9,,,89
Ray Coleman*,26,SLB,AL,17,32,29,2,5,0,1,0,2,1,0,2,5,0.172,0.226,0.241,0.467,23,7,2,0,1,,,/O9
Ray Coleman*,26,PHA,AL,68,249,210,32,51,6,6,0,21,4,3,31,17,0.243,0.34,0.329,0.669,77,69,11,0,8,,,O89
Joe Collins*,25,NYY,AL,5,5,5,0,1,1,0,0,2,0,0,0,1,0.2,0.2,0.4,0.6,58,2,0,0,0,,,
Clint Conatser,26,BSN,NL,90,259,224,30,62,9,3,3,23,0,,32,27,0.277,0.37,0.384,0.754,105,86,4,1,2,,,O87
Jack Conway,29,NYG,NL,24,56,49,8,12,2,1,1,3,0,,5,10,0.245,0.315,0.388,0.703,88,19,1,0,0,,,4/65
Cal Cooper,25,WSH,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,/1
Walker Cooper,33,NYG,NL,91,319,290,40,77,12,0,16,54,1,,28,29,0.266,0.332,0.472,0.805,115,137,14,1,3,,,2
Claude Corbitt,32,CIN,NL,87,284,258,24,66,11,0,0,18,4,,14,16,0.256,0.297,0.298,0.595,63,77,1,1,11,,,456
Billy Cox,28,BRO,NL,88,279,237,36,59,13,2,3,15,3,,38,19,0.249,0.353,0.359,0.711,90,85,8,0,4,,,5/64
Doc Cramer*,42,DET,AL,4,7,4,1,0,0,0,0,1,0,0,3,0,0,0.429,0,0.429,18,0,0,0,0,,,/8O
Walker Cress,31,CIN,NL,31,10,8,0,4,0,0,0,1,0,,1,0,0.5,0.556,0.5,1.056,191,4,0,0,1,,,1
Frankie Crosetti,37,NYY,AL,17,16,14,4,4,0,1,0,0,0,0,2,0,0.286,0.375,0.429,0.804,114,6,0,0,0,,,/46
Jeff Cross,29,TOT,NL,18,20,20,1,2,0,0,0,0,0,,0,4,0.1,0.1,0.1,0.2,-45,2,0,0,0,,,/64
Jeff Cross,29,STL,NL,2,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,
Jeff Cross,29,CHC,NL,16,20,20,1,2,0,0,0,0,0,,0,4,0.1,0.1,0.1,0.2,-45,2,0,0,0,,,/64
Leon Culberson,28,WSH,AL,12,37,29,1,5,0,0,0,2,0,0,8,5,0.172,0.351,0.172,0.524,44,5,2,0,0,,,8O
Dick Culler,33,CHC,NL,48,105,89,4,15,2,0,0,5,0,,13,3,0.169,0.275,0.191,0.466,31,17,4,0,3,,,6/4
Al Dark,26,BSN,NL,137,581,543,85,175,39,6,3,48,4,,24,36,0.322,0.353,0.433,0.786,113,235,4,2,10,,,*6
Cot Deal#,25,BOS,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,/1
Jim Delsing*,22,CHW,AL,20,70,63,5,12,0,0,0,5,0,0,5,12,0.19,0.261,0.19,0.451,23,12,2,1,1,,,8O
Billy DeMars,22,PHA,AL,18,35,29,3,5,0,0,0,1,0,0,5,3,0.172,0.294,0.172,0.467,25,5,0,0,1,,,/645
Sam Dente,26,SLB,AL,98,296,267,26,72,11,2,0,22,1,3,22,8,0.27,0.328,0.326,0.653,73,87,5,1,6,,,6/5
Murry Dickson,31,STL,NL,43,101,96,7,27,2,0,0,11,0,,1,1,0.281,0.289,0.302,0.591,56,29,3,0,4,,,1
Chuck Diering,25,STL,NL,7,9,7,2,0,0,0,0,0,1,,2,2,0,0.222,0,0.222,-37,0,1,0,0,,,/8O
Bill Dietrich,38,PHA,AL,4,3,2,0,0,0,0,0,0,0,0,1,1,0,0.333,0,0.333,-7,0,0,0,0,,,/1
Jay Difani,25,WSH,AL,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,,,
Bob Dillinger,29,SLB,AL,153,722,644,110,207,34,10,2,44,28,11,65,34,0.321,0.385,0.415,0.799,111,267,18,1,12,,,*5
Dom DiMaggio,31,BOS,AL,155,756,648,127,185,40,4,9,87,10,2,101,58,0.285,0.383,0.401,0.785,105,260,11,2,5,,,*8O
Joe DiMaggio,33,NYY,AL,153,669,594,110,190,26,11,39,155,1,1,67,30,0.32,0.396,0.598,0.994,163,355,20,8,0,,,*8O
Jess Dobernic,30,CHC,NL,54,11,10,0,2,0,0,0,0,0,,0,0,0.2,0.2,0.2,0.4,11,2,0,0,0,,,1
Joe Dobson,31,BOS,AL,38,101,84,9,17,2,0,1,4,0,0,6,27,0.202,0.28,0.262,0.541,42,22,2,3,8,,,1
Larry Doby*,24,CLE,AL,121,499,439,83,132,23,9,14,66,9,9,54,77,0.301,0.384,0.49,0.873,134,215,8,5,2,,,*O89
Bobby Doerr,30,BOS,AL,140,619,527,94,150,23,6,27,111,3,2,83,49,0.285,0.386,0.505,0.891,131,266,13,4,4,,,*4
Blix Donnelly,34,PHI,NL,26,48,45,2,10,1,1,0,1,0,,3,10,0.222,0.271,0.289,0.56,53,13,1,0,1,,,1
Fritz Dorish,26,BOS,AL,9,4,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,30,1,0,0,0,,,/1
Larry Drake*,27,WSH,AL,4,9,7,0,2,0,0,0,1,0,0,1,3,0.286,0.375,0.286,0.661,79,2,0,0,1,,,/O9
Clem Dreisewerd*,32,TOT,MLB,17,11,9,0,1,0,0,0,0,0,0,2,5,0.111,0.273,0.111,0.384,5,1,0,0,0,,,1
Clem Dreisewerd*,32,SLB,AL,13,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,0,,,1
Clem Dreisewerd*,32,NYG,NL,4,6,4,0,1,0,0,0,0,0,,2,1,0.25,0.5,0.25,0.75,108,1,0,0,0,,,/1
Karl Drews,28,TOT,AL,39,21,15,2,0,0,0,0,0,0,0,4,7,0,0.211,0,0.211,-41,0,0,0,2,,,1
Karl Drews,28,NYY,AL,19,10,7,0,0,0,0,0,0,0,0,1,1,0,0.125,0,0.125,-65,0,0,0,2,,,1
Karl Drews,28,SLB,AL,20,11,8,2,0,0,0,0,0,0,0,3,6,0,0.273,0,0.273,-24,0,0,0,0,,,1
Monk Dubiel,30,PHI,NL,38,51,42,6,7,2,0,0,0,0,,3,11,0.167,0.222,0.214,0.437,20,9,0,0,4,,,1
Erv Dusak,27,STL,NL,114,365,311,60,65,9,2,6,19,3,,49,55,0.209,0.317,0.309,0.625,66,96,2,0,5,,,O849/5716
Jake Early*,33,WSH,AL,97,286,246,22,54,7,2,1,28,2,1,36,33,0.22,0.322,0.276,0.598,62,68,1,1,3,,,2
Bruce Edwards,24,BRO,NL,96,319,286,36,79,17,2,8,54,4,,26,28,0.276,0.341,0.434,0.774,105,124,10,2,4,,,2O75/3
Hank Edwards*,29,CLE,AL,55,179,160,27,43,9,2,3,18,1,1,18,18,0.269,0.346,0.406,0.753,102,65,2,1,0,,,O9
Bob Elliott,31,BSN,NL,151,677,540,99,153,24,5,23,100,6,,131,57,0.283,0.423,0.474,0.897,143,256,14,0,4,,,*5
Glenn Elliott#,28,BSN,NL,1,2,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,-100,0,0,0,0,,,/1
Red Embree,30,NYY,AL,20,28,27,2,4,1,0,0,3,0,0,1,6,0.148,0.179,0.185,0.364,-3,5,0,0,0,,,1
Del Ennis,23,PHI,NL,152,641,589,86,171,40,4,30,95,2,,47,58,0.29,0.345,0.525,0.869,135,309,10,2,3,,,*O9
Eddie Erautt,23,CIN,NL,2,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,/1
Paul Erickson,32,TOT,NL,9,8,8,0,1,0,0,0,1,0,,0,2,0.125,0.125,0.125,0.25,-31,1,0,0,0,,,/1
Paul Erickson,32,CHC,NL,3,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,-100,0,0,0,0,,,/1
Paul Erickson,32,PHI,NL,4,7,7,0,1,0,0,0,1,0,,0,2,0.143,0.143,0.143,0.286,-22,1,0,0,0,,,/1
Paul Erickson,32,NYG,NL,2,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,/1
Carl Erskine,21,BRO,NL,17,21,21,1,2,0,0,0,0,0,,0,2,0.095,0.095,0.095,0.19,-49,2,0,0,0,,,1
Al Evans,31,WSH,AL,93,271,228,19,59,6,3,2,28,1,1,38,20,0.259,0.367,0.338,0.705,90,77,10,1,4,,,2
Hoot Evers,27,DET,AL,139,605,538,81,169,33,6,10,103,3,4,51,31,0.314,0.378,0.454,0.831,118,244,16,4,13,,,*8O
Ferris Fain*,27,PHA,AL,145,644,520,81,146,27,6,7,88,10,5,113,37,0.281,0.412,0.396,0.808,114,206,17,3,8,,,*3
Cliff Fannin*,24,SLB,AL,48,83,65,12,11,0,0,0,2,0,0,11,4,0.169,0.299,0.169,0.468,25,11,3,1,6,,,1
Bob Feller,29,CLE,AL,44,106,95,1,9,2,0,0,3,0,0,1,39,0.095,0.113,0.116,0.229,-38,11,1,1,9,,,1
Tom Ferrick,33,WSH,AL,37,15,15,1,1,0,1,0,1,0,0,0,3,0.067,0.067,0.2,0.267,-30,3,0,0,0,,,1
Dave Ferriss*,26,BOS,AL,31,45,37,4,9,1,0,0,6,0,0,6,6,0.243,0.349,0.27,0.619,63,10,0,0,2,,,1
Steve Filipowicz,27,CIN,NL,7,28,26,0,9,0,1,0,3,0,,2,1,0.346,0.393,0.423,0.816,124,11,0,0,0,,,/7O
Ed Fitz Gerald,24,PIT,NL,102,297,262,31,70,9,3,1,35,3,,32,37,0.267,0.349,0.336,0.685,85,88,3,1,2,,,2
Angel Fleitas,33,WSH,AL,15,16,13,1,1,0,0,0,1,0,2,3,5,0.077,0.25,0.077,0.327,-10,1,0,0,0,,,/6
Dick Fowler,27,PHA,AL,29,89,82,5,14,1,0,1,8,0,0,3,10,0.171,0.2,0.22,0.42,11,18,2,0,4,,,1
Howie Fox,27,CIN,NL,35,64,60,9,12,3,0,0,4,0,,2,9,0.2,0.238,0.25,0.488,34,15,3,1,1,,,1
Nellie Fox*,20,PHA,AL,3,14,13,0,2,0,0,0,0,1,0,1,0,0.154,0.214,0.154,0.368,-2,2,0,0,0,,,/4
Herman Franks*,34,PHA,AL,40,120,98,10,22,7,1,1,14,0,0,16,11,0.224,0.345,0.347,0.692,83,34,4,2,4,,,2
Lonny Frey*,37,TOT,MLB,30,55,51,7,13,1,0,1,6,0,0,4,6,0.255,0.309,0.333,0.642,73,17,0,0,0,,,4
Lonny Frey*,37,NYY,AL,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,
Lonny Frey*,37,NYG,NL,29,55,51,6,13,1,0,1,6,0,,4,6,0.255,0.309,0.333,0.642,73,17,0,0,0,,,4
Carl Furillo,26,BRO,NL,108,414,364,55,108,20,4,4,44,6,,43,32,0.297,0.374,0.407,0.781,108,148,7,2,5,,,*O89
Augie Galan#,36,CIN,NL,54,107,77,18,22,3,2,2,16,0,,26,4,0.286,0.471,0.455,0.926,155,35,2,1,2,,,O9/7
Denny Galehouse,36,BOS,AL,27,53,42,6,7,0,0,0,1,0,0,8,13,0.167,0.3,0.167,0.467,23,7,1,0,3,,,1
Joe Garagiola*,22,STL,NL,24,69,56,9,6,1,0,2,7,0,,12,9,0.107,0.275,0.232,0.508,35,13,0,1,0,,,2
Mike Garcia,24,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,/1
Ramon Garcia,24,WSH,AL,4,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,440,1,0,0,0,,,/1
Ned Garver,22,SLB,AL,46,79,66,9,19,1,1,1,9,0,0,4,3,0.288,0.329,0.379,0.707,86,25,1,0,9,,,1
Rufe Gentry,30,DET,AL,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,426,1,0,0,0,,,/1
Al Gerheauser*,31,SLB,AL,14,6,6,0,2,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,76,2,0,0,0,,,1
Al Gettel,30,TOT,AL,29,60,57,5,13,2,0,0,3,0,0,0,6,0.228,0.228,0.263,0.491,33,15,3,0,3,,,1/4
Al Gettel,30,CLE,AL,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,,,/1
Al Gettel,30,CHW,AL,24,57,54,4,13,2,0,0,3,0,0,0,6,0.241,0.241,0.278,0.519,40,15,3,0,3,,,1/4
Carden Gillenwater,31,WSH,AL,77,262,221,23,54,10,4,3,21,4,2,39,36,0.244,0.358,0.367,0.724,95,81,9,0,1,,,O8/79
Bob Gillespie,28,CHW,AL,25,18,16,0,0,0,0,0,1,0,0,1,10,0,0.059,0,0.059,-83,0,0,0,1,,,1
Joe Ginsberg*,21,DET,AL,11,39,36,7,13,0,0,0,1,0,0,3,1,0.361,0.41,0.361,0.771,104,13,1,0,0,,,2
Billy Goodman*,22,BOS,AL,127,527,445,65,138,27,2,1,66,5,3,74,44,0.31,0.414,0.387,0.801,109,172,18,5,3,,,*3/45
Jim Goodwin*,21,CHW,AL,8,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,171,1,0,0,0,,,/1
Joe Gordon,33,CLE,AL,144,633,550,96,154,21,4,32,124,5,2,77,68,0.28,0.371,0.507,0.879,135,279,16,3,3,,,*4/6
Sid Gordon,30,NYG,NL,142,605,521,100,156,26,4,30,107,8,,74,39,0.299,0.39,0.537,0.927,147,280,18,3,7,,,*5O7/9
Lou Grasmick,23,PHI,NL,2,1,1,0,1,0,0,0,0,0,,0,0,1,1,1,2,449,1,0,0,0,,,/1
Ted Gray#,23,DET,AL,26,33,29,2,7,1,0,0,1,0,0,2,7,0.241,0.29,0.276,0.566,49,8,2,0,2,,,1
Hal Gregg,26,PIT,NL,22,24,22,3,6,0,0,1,1,0,,0,9,0.273,0.273,0.409,0.682,81,9,0,0,2,,,1
Steve Gromek#,28,CLE,AL,38,45,41,3,6,1,0,0,1,0,0,3,7,0.146,0.205,0.171,0.375,2,7,0,0,1,,,1
Ernest Groth,26,CLE,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,/1
Johnny Groth,21,DET,AL,6,18,17,3,8,3,0,1,5,0,0,1,1,0.471,0.5,0.824,1.324,244,14,0,0,0,,,/8O
Orval Grove,28,CHW,AL,32,23,21,0,2,0,0,0,0,0,0,1,9,0.095,0.136,0.095,0.232,-37,2,2,0,1,,,1
Mike Guerra,35,PHA,AL,53,166,142,18,30,4,2,1,23,2,3,18,13,0.211,0.3,0.289,0.589,56,41,6,0,5,,,2
Harry Gumbert,38,CIN,NL,61,27,25,1,1,0,0,1,1,0,,1,9,0.04,0.077,0.16,0.237,-37,4,1,0,1,,,1
Randy Gumpert,30,TOT,AL,31,32,29,0,4,0,0,0,1,0,0,0,10,0.138,0.138,0.138,0.276,-25,4,0,0,3,,,1
Randy Gumpert,30,NYY,AL,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,1
Randy Gumpert,30,CHW,AL,16,32,29,0,4,0,0,0,1,0,0,0,10,0.138,0.138,0.138,0.276,-25,4,0,0,3,,,1
Frankie Gustine,28,PIT,NL,131,500,449,68,120,19,2,9,42,5,,42,62,0.267,0.333,0.379,0.711,90,170,12,2,6,,,*5
Don Gutteridge,36,PIT,NL,4,2,2,0,0,0,0,0,0,0,,0,1,0,0,0,0,-100,0,0,0,0,,,
Bert Haas,34,PHI,NL,95,370,333,35,94,9,2,4,34,8,,36,25,0.282,0.354,0.357,0.711,95,119,9,1,0,,,53
Warren Hacker,23,CHC,NL,3,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,/1
Mickey Haefner*,35,WSH,AL,28,47,43,1,7,1,0,0,3,0,0,3,9,0.163,0.217,0.186,0.403,9,8,1,0,1,,,1
John Hall,24,BRO,NL,3,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,/1
Jack Hallett,33,NYG,NL,2,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,-100,0,0,0,0,,,/1
Granny Hamner,21,PHI,NL,129,475,446,42,116,21,5,3,48,2,,22,39,0.26,0.298,0.35,0.648,77,156,10,2,5,,,46/5
Ralph Hamner,31,CHC,NL,27,34,33,1,6,1,0,1,5,0,,0,12,0.182,0.182,0.303,0.485,32,10,1,0,1,,,1
Andy Hansen,23,NYG,NL,36,29,20,3,1,0,0,0,1,0,,5,11,0.05,0.269,0.05,0.319,-9,1,0,1,3,,,1
Bubba Harris,22,PHA,AL,45,29,24,4,3,0,0,0,1,0,0,3,5,0.125,0.222,0.125,0.347,-7,3,0,0,2,,,1
Mickey Harris*,31,BOS,AL,20,44,32,6,2,0,0,0,1,0,0,10,6,0.063,0.286,0.063,0.348,-6,2,0,0,2,,,1
Earl Harrist,29,TOT,AL,34,23,22,1,3,0,0,0,0,0,0,0,6,0.136,0.136,0.136,0.273,-26,3,0,0,0,,,1
Earl Harrist,29,CHW,AL,11,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,,,1
Earl Harrist,29,WSH,AL,23,18,18,1,3,0,0,0,0,0,0,0,6,0.167,0.167,0.167,0.333,-10,3,0,0,0,,,1
Jack Harshman*,20,NYG,NL,5,9,8,0,2,0,0,0,1,0,,1,3,0.25,0.333,0.25,0.583,59,2,0,0,0,,,/3
Clint Hartung,25,NYG,NL,43,63,56,5,10,1,1,0,3,0,,7,24,0.179,0.27,0.232,0.502,36,13,0,0,0,,,1
Joe Hatten,31,BRO,NL,43,75,63,6,13,2,0,0,5,0,,4,19,0.206,0.254,0.238,0.492,32,15,0,0,8,,,1
Grady Hatton*,25,CIN,NL,133,534,458,58,110,17,2,9,44,7,,72,50,0.24,0.343,0.345,0.688,89,158,6,0,3,,,*5/467O
Phil Haugstad,24,BRO,NL,1,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,/1
Joe Haynes,30,CHW,AL,27,56,50,5,8,2,0,0,1,0,0,3,8,0.16,0.208,0.2,0.408,10,10,0,0,3,,,1
Jim Hearn,27,STL,NL,36,26,25,1,5,0,0,0,1,0,,0,7,0.2,0.2,0.2,0.4,6,5,1,0,1,,,1
Jeff Heath*,33,BSN,NL,115,420,364,64,116,26,5,20,76,2,,51,46,0.319,0.404,0.582,0.986,165,212,4,1,3,,,*O7/9
Jim Hegan,27,CLE,AL,144,524,472,60,117,21,6,14,61,6,3,48,74,0.248,0.317,0.407,0.724,94,192,10,0,4,,,*2
Ken Heintzelman,32,PHI,NL,27,43,37,1,5,1,0,0,2,0,,0,8,0.135,0.135,0.162,0.297,-19,6,0,0,6,,,1
Tommy Henrich*,35,NYY,AL,146,674,588,138,181,42,14,25,100,2,3,76,42,0.308,0.391,0.554,0.945,151,326,14,4,5,,,O93/78
Gene Hermanski*,28,BRO,NL,133,471,400,63,116,22,7,15,60,15,,64,46,0.29,0.391,0.493,0.883,134,197,7,2,4,,,*O9/7
Johnny Hetki,26,CIN,NL,3,2,1,0,0,0,0,0,0,0,,1,0,0,0.5,0,0.5,47,0,0,0,0,,,/1
Ed Heusser#,39,PHI,NL,33,19,19,1,3,0,0,0,1,0,,0,5,0.158,0.158,0.158,0.316,-13,3,0,0,0,,,1
Kirby Higbe,33,PIT,NL,56,48,48,4,10,1,0,1,3,0,,0,11,0.208,0.208,0.292,0.5,33,14,2,0,0,,,1
Frank Hiller,27,NYY,AL,22,17,16,1,6,1,0,0,4,0,0,0,2,0.375,0.375,0.438,0.813,116,7,0,0,1,,,1
Billy Hitchcock,31,BOS,AL,49,134,124,15,37,3,2,1,20,0,0,7,9,0.298,0.341,0.379,0.72,87,47,4,1,2,,,45
Gil Hodges,24,BRO,NL,134,527,481,48,120,18,5,11,70,7,,43,61,0.249,0.311,0.376,0.687,82,181,11,0,4,,,32
Ralph Hodgin*,33,CHW,AL,114,359,331,28,88,11,5,1,34,0,3,21,11,0.266,0.31,0.338,0.648,75,112,9,0,7,,,O97/8
Bobby Hogue,27,BSN,NL,40,28,21,0,2,1,0,0,1,0,,0,5,0.095,0.095,0.143,0.238,-36,3,0,0,7,,,1
Wally Holborow,34,PHA,AL,5,6,4,1,2,1,0,0,3,0,0,1,1,0.5,0.6,0.75,1.35,256,3,0,0,1,,,/1
Ken Holcombe,29,CIN,NL,2,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,/1
Tommy Holmes*,31,BSN,NL,139,638,585,85,190,35,7,6,61,1,,46,20,0.325,0.375,0.439,0.814,121,257,18,1,7,,,*O9
Johnny Hopp*,31,PIT,NL,120,435,392,64,109,15,12,1,31,5,,40,25,0.278,0.345,0.385,0.73,96,151,7,0,3,,,O83/97
Ralph Houk,28,NYY,AL,14,29,29,3,8,2,0,0,3,0,0,0,0,0.276,0.276,0.345,0.621,65,10,0,0,0,,,2
Art Houtteman,20,DET,AL,43,57,56,2,11,0,0,0,7,0,0,0,2,0.196,0.196,0.196,0.393,3,11,1,0,1,,,1
Sid Hudson,33,WSH,AL,39,65,59,5,14,4,1,0,4,0,0,3,6,0.237,0.274,0.339,0.613,65,20,0,0,3,,,1
Tommy Hughes,28,CIN,NL,12,7,7,0,1,0,0,0,0,0,,0,2,0.143,0.143,0.143,0.286,-22,1,1,0,0,,,1
Tex Hughson,32,BOS,AL,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,1,,,1
Fred Hutchinson*,28,DET,AL,76,137,112,11,23,1,0,1,12,3,0,22,9,0.205,0.341,0.241,0.582,54,27,3,1,2,,,1
Tony Jacobs#,22,CHC,NL,1,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,/1
Larry Jansen,27,NYG,NL,42,106,95,4,13,3,0,0,7,0,,4,22,0.137,0.172,0.168,0.34,-8,16,2,0,7,,,1
Hal Jeffcoat,23,CHC,NL,134,512,473,53,132,16,4,4,42,8,,24,68,0.279,0.315,0.355,0.67,85,168,6,1,14,,,*8O
Billy Johnson,29,NYY,AL,127,493,446,59,131,20,6,12,64,0,0,41,30,0.294,0.358,0.446,0.805,114,199,22,4,1,,,*5
Don Johnson,36,CHC,NL,6,12,12,0,3,0,0,0,0,1,,0,1,0.25,0.25,0.25,0.5,39,3,1,0,0,,,/45
Earl Johnson*,29,BOS,AL,35,33,31,2,3,0,0,0,3,0,0,1,9,0.097,0.125,0.097,0.222,-42,3,2,0,1,,,1
Ken Johnson*,25,STL,NL,20,20,20,2,6,2,0,0,1,0,,0,7,0.3,0.3,0.4,0.7,83,8,0,0,0,,,1
Jake Jones,27,BOS,AL,36,116,105,3,21,4,0,1,8,1,0,11,26,0.2,0.276,0.267,0.543,42,28,4,0,0,,,3
Nippy Jones,23,STL,NL,132,523,481,58,122,21,9,10,81,2,,36,45,0.254,0.307,0.397,0.704,85,191,25,1,5,,,*3
Sheldon Jones,26,NYG,NL,55,74,64,5,13,3,1,0,6,0,,1,19,0.203,0.215,0.281,0.497,33,18,1,0,9,,,1
Willie Jones,22,PHI,NL,17,66,60,9,20,2,0,2,9,0,,3,5,0.333,0.365,0.467,0.832,126,28,3,0,2,,,5
Eddie Joost,32,PHA,AL,135,637,509,99,127,22,2,16,55,2,4,119,87,0.25,0.393,0.395,0.788,109,201,4,1,8,,,*6
Tom Jordan,28,SLB,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,,,
Spider Jorgensen*,28,BRO,NL,31,107,90,15,27,6,2,1,13,1,,16,13,0.3,0.411,0.444,0.856,128,40,1,1,1,,,5
Oscar Judd*,40,PHI,NL,4,7,6,1,1,1,0,0,0,0,,1,2,0.167,0.286,0.333,0.619,69,2,0,0,0,,,/1
Wally Judnich*,32,CLE,AL,79,281,218,36,56,13,3,2,29,2,3,56,23,0.257,0.411,0.372,0.782,111,81,5,1,6,,,O839
