Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
Dixie Walker*,37,PIT,NL,129,466,408,39,129,19,3,2,54,1,,52,18,0.316,0.393,0.392,0.786,111,160,7,0,5,,,*O9/78
Harry Walker*,31,PHI,NL,112,368,332,34,97,11,2,2,23,4,,33,30,0.292,0.358,0.355,0.713,96,118,3,1,2,,,O87/395
Rube Walker*,22,CHC,NL,79,196,171,17,47,8,0,5,26,0,,24,17,0.275,0.371,0.409,0.78,115,70,8,2,0,,,2
Jack Wallaesa#,28,CHW,AL,33,49,48,2,9,0,0,1,3,0,0,1,12,0.188,0.204,0.25,0.454,22,12,2,0,0,,,/67O
Junior Walsh,29,PIT,NL,2,2,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,-100,0,0,0,0,,,/1
Bucky Walters,39,CIN,NL,7,15,15,1,4,0,0,0,2,0,,0,2,0.267,0.267,0.267,0.533,47,4,1,0,0,,,/1
Preston Ward*,20,BRO,NL,42,162,146,9,38,9,2,1,21,0,,15,23,0.26,0.329,0.37,0.699,86,54,0,0,1,,,3
Red Webb*,23,NYG,NL,5,11,9,0,2,0,0,0,1,0,,0,1,0.222,0.222,0.222,0.444,20,2,0,0,2,,,/1
Skeeter Webb,38,PHA,AL,23,55,54,5,8,2,0,0,3,0,0,0,9,0.148,0.148,0.185,0.333,-12,10,2,0,1,,,/46
Les Webber,33,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,/1
Herm Wehmeier,21,CIN,NL,36,59,55,4,5,1,0,0,2,0,,1,13,0.091,0.107,0.109,0.216,-41,6,1,0,3,,,1
Ralph Weigel,26,CHW,AL,66,179,163,8,38,7,3,0,26,1,2,13,18,0.233,0.294,0.313,0.607,64,51,5,1,2,,,2/7O
Dick Weik,20,WSH,AL,3,4,4,1,3,0,1,0,0,0,0,0,0,0.75,0.75,1.25,2,433,5,0,0,0,,,/1
Bob Wellman,22,PHA,AL,4,13,10,1,2,0,1,0,0,0,0,3,2,0.2,0.385,0.4,0.785,108,4,0,0,0,,,/3O9
Dick Welteroth,20,WSH,AL,33,10,10,1,1,0,0,0,0,0,0,0,4,0.1,0.1,0.1,0.2,-46,1,0,0,0,,,1
Butch Wensloff,32,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,/1
Vic Wertz*,23,DET,AL,119,449,391,49,97,19,9,7,67,0,0,48,70,0.248,0.335,0.396,0.731,92,155,5,3,6,,,O79/8
Max West*,31,PIT,NL,87,174,146,19,26,4,0,8,21,1,,27,29,0.178,0.31,0.37,0.68,82,54,4,1,0,,,3O9/7
Wally Westlake,27,PIT,NL,132,479,428,78,122,10,6,17,65,2,,46,40,0.285,0.36,0.456,0.815,117,195,10,4,1,,,*O89/7
